"variant","target","outcome","country","set","n_units","spearman","thin"
"rr10_cs","level","women_folate","Malawi","csa",27,0.253968253968254,FALSE
"rr10_cs","level","women_folate","SierraLeone","csa",4,-0.8,TRUE
"rr10_cs","level","women_b12","Ghana","full",16,0.702941176470588,FALSE
"rr10_cs","level","women_b12","Malawi","full",27,0.495726495726496,FALSE
"rr10_cs","level","women_b12","SierraLeone","full",4,0.8,TRUE
"rr10_cs","level","women_b12","Ghana","climate_soil",16,0.694117647058824,FALSE
"rr10_cs","level","women_b12","Malawi","climate_soil",27,0.726495726495726,FALSE
"rr10_cs","level","women_b12","SierraLeone","climate_soil",4,0.8,TRUE
"rr10_cs","level","women_b12","Ghana","csa",16,0.673529411764706,FALSE
"rr10_cs","level","women_b12","Malawi","csa",27,0.583028083028083,FALSE
"rr10_cs","level","women_b12","SierraLeone","csa",4,0.8,TRUE
"rr10_cs","prev","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"rr10_cs","prev","child_vitA","Ghana","full",16,0.423529411764706,FALSE
"rr10_cs","prev","child_vitA","Malawi","full",27,0.355334034297378,FALSE
"rr10_cs","prev","child_vitA","SierraLeone","full",4,0.4,TRUE
"rr10_cs","prev","child_vitA","Gambia","climate_soil",6,0.314285714285714,TRUE
"rr10_cs","prev","child_vitA","Ghana","climate_soil",16,0.426470588235294,FALSE
"rr10_cs","prev","child_vitA","Malawi","climate_soil",27,0.0193654796892107,FALSE
"rr10_cs","prev","child_vitA","SierraLeone","climate_soil",4,-0.2,TRUE
"rr10_cs","prev","child_vitA","Gambia","csa",6,0.2,TRUE
"rr10_cs","prev","child_vitA","Ghana","csa",16,0.423529411764706,FALSE
"rr10_cs","prev","child_vitA","Malawi","csa",27,0.0603482390314938,FALSE
"rr10_cs","prev","child_vitA","SierraLeone","csa",4,-0.2,TRUE
"rr10_cs","prev","women_vitA","Gambia","full",6,0.657142857142857,TRUE
"rr10_cs","prev","women_vitA","Ghana","full",16,0.379000172652933,FALSE
"rr10_cs","prev","women_vitA","Malawi","full",27,0.331956864961941,FALSE
"rr10_cs","prev","women_vitA","SierraLeone","full",4,0,TRUE
"rr10_cs","prev","women_vitA","Gambia","climate_soil",6,0.657142857142857,TRUE
"rr10_cs","prev","women_vitA","Ghana","climate_soil",16,0.386549976889047,FALSE
"rr10_cs","prev","women_vitA","Malawi","climate_soil",27,0.068541700862587,FALSE
"rr10_cs","prev","women_vitA","SierraLeone","climate_soil",4,0.8,TRUE
"rr10_cs","prev","women_vitA","Gambia","csa",6,0.657142857142857,TRUE
"rr10_cs","prev","women_vitA","Ghana","csa",16,0.422789037222395,FALSE
"rr10_cs","prev","women_vitA","Malawi","csa",27,0.155898770589413,FALSE
"rr10_cs","prev","women_vitA","SierraLeone","csa",4,0.8,TRUE
"rr10_cs","prev","child_iron","Gambia","full",6,0.657142857142857,TRUE
"rr10_cs","prev","child_iron","Ghana","full",16,0.711764705882353,FALSE
"rr10_cs","prev","child_iron","Malawi","full",27,-0.0921855921855922,FALSE
