"country","outcome","target","rep","variant","spearman","mae","rho_sd_across_folds","rho_mean"
"Gambia","child_iron","level",1,"nested1",0.299666295884316,0.238213002542112,0.165366788781523,0.392280051350454
"Gambia","child_iron","level",1,"nested5",0.29432703003337,0.236535835090765,0.165366788781523,0.392280051350454
"Gambia","child_iron","level",1,"insample",0.346384872080089,0.229397946904259,0.165366788781523,0.392280051350454
"Gambia","child_iron","level",1,"pooled",0.349944382647386,0.22306934023844,0.165366788781523,0.392280051350454
"Gambia","child_iron","level",2,"none",0.503448275862069,0.23682834196356,0.0718603691460339,0.383923077673009
"Gambia","child_iron","level",2,"nested1",0.502113459399333,0.215951555890483,0.0718603691460339,0.383923077673009
"Gambia","child_iron","level",2,"nested5",0.492324805339266,0.217295857937598,0.0718603691460339,0.383923077673009
"Gambia","child_iron","level",2,"insample",0.503448275862069,0.215162880184595,0.0718603691460339,0.383923077673009
"Gambia","child_iron","level",2,"pooled",0.520800889877642,0.210761871365114,0.0718603691460339,0.383923077673009
"Gambia","child_iron","level",3,"none",0.432258064516129,0.244276396587521,0.100357716028207,0.368353754653452
"Gambia","child_iron","level",3,"nested1",0.146607341490545,0.232413985941686,0.100357716028207,0.368353754653452
"Gambia","child_iron","level",3,"nested5",0.147497219132369,0.232363448132589,0.100357716028207,0.368353754653452
"Gambia","child_iron","level",3,"insample",0.286318131256952,0.230545206046914,0.100357716028207,0.368353754653452
"Gambia","child_iron","level",3,"pooled",0.209788654060067,0.228476628460796,0.100357716028207,0.368353754653452
"Gambia","women_iron","prev",1,"none",0.73868061420492,9.69680249048453,0.0580825553982809,0.722764718411622
"Gambia","women_iron","prev",1,"nested1",0.710868844091783,9.41383968589994,0.0580825553982809,0.722764718411622
"Gambia","women_iron","prev",1,"nested5",0.706418960873681,9.44849454233763,0.0580825553982809,0.722764718411622
"Gambia","women_iron","prev",1,"insample",0.708643902482732,9.34304891165563,0.0580825553982809,0.722764718411622
"Gambia","women_iron","prev",1,"pooled",0.712648797379024,9.23146650503774,0.0580825553982809,0.722764718411622
"Gambia","women_iron","prev",2,"none",0.776949609880597,9.21568965372048,0.0350054457964766,0.717749565441739
"Gambia","women_iron","prev",2,"nested1",0.768939820088014,8.78478404653716,0.0350054457964766,0.717749565441739
"Gambia","women_iron","prev",2,"nested5",0.768939820088014,8.77573741912781,0.0350054457964766,0.717749565441739
"Gambia","women_iron","prev",2,"insample",0.776504621558787,8.83967179325857,0.0350054457964766,0.717749565441739
"Gambia","women_iron","prev",2,"pooled",0.778729563167838,8.82990458157887,0.0350054457964766,0.717749565441739
"Gambia","women_iron","prev",3,"none",0.725108470389709,10.0051998353174,0.0435239604507125,0.707546148066749
"Gambia","women_iron","prev",3,"nested1",0.679497167404165,9.65161243528688,0.0435239604507125,0.707546148066749
"Gambia","women_iron","prev",3,"nested5",0.676827237473304,9.65021749896915,0.0435239604507125,0.707546148066749
"Gambia","women_iron","prev",3,"insample",0.697964182759288,9.55778505955191,0.0435239604507125,0.707546148066749
"Gambia","women_iron","prev",3,"pooled",0.676827237473304,9.7538948290884,0.0435239604507125,0.707546148066749
"Gambia","women_iron","level",1,"none",0.662736373748609,0.245037493693132,0.0463150311500314,0.637248067851194
"Gambia","women_iron","level",1,"nested1",0.653837597330367,0.219531621018063,0.0463150311500314,0.637248067851194
"Gambia","women_iron","level",1,"nested5",0.65027808676307,0.219840399729652,0.0463150311500314,0.637248067851194
"Gambia","women_iron","level",1,"insample",0.655172413793103,0.219571888690892,0.0463150311500314,0.637248067851194
"Gambia","women_iron","level",1,"pooled",0.658286985539488,0.216954764919508,0.0463150311500314,0.637248067851194
"Gambia","women_iron","level",2,"none",0.704115684093437,0.23707398705011,0.0526539819322194,0.635475818000108
"Gambia","women_iron","level",2,"nested1",0.696551724137931,0.204358942761028,0.0526539819322194,0.635475818000108
"Gambia","women_iron","level",2,"nested5",0.690767519466073,0.204479245939167,0.0526539819322194,0.635475818000108
"Gambia","women_iron","level",2,"insample",0.707675194660734,0.208994231293669,0.0526539819322194,0.635475818000108
"Gambia","women_iron","level",2,"pooled",0.695661846496107,0.204585273130319,0.0526539819322194,0.635475818000108
"Gambia","women_iron","level",3,"none",0.645383759733037,0.253701118039272,0.0607683116072235,0.619711334960683
"Gambia","women_iron","level",3,"nested1",0.601334816462736,0.226322549133886,0.0607683116072235,0.619711334960683
"Gambia","women_iron","level",3,"nested5",0.605784204671858,0.226018188246544,0.0607683116072235,0.619711334960683
"Gambia","women_iron","level",3,"insample",0.631590656284761,0.226747751061672,0.0607683116072235,0.619711334960683
"Gambia","women_iron","level",3,"pooled",0.603559510567297,0.225107586678786,0.0607683116072235,0.619711334960683
"Ghana","child_vitA","prev",1,"none",0.270377807009525,21.2183601182308,0.0547102782850172,0.356444050050181
"Ghana","child_vitA","prev",1,"nested1",0.240217160501589,13.5969188687074,0.0547102782850172,0.356444050050181
"Ghana","child_vitA","prev",1,"nested5",0.240217160501589,13.5969188687074,0.0547102782850172,0.356444050050181
"Ghana","child_vitA","prev",1,"insample",0.254001629727124,13.7161627275949,0.0547102782850172,0.356444050050181
"Ghana","child_vitA","prev",1,"pooled",0.242011419925574,13.3519373482543,0.0547102782850172,0.356444050050181
"Ghana","child_vitA","prev",2,"none",0.312343541314948,20.8440044782235,0.104804381964922,0.356559055590069
"Ghana","child_vitA","prev",2,"nested1",0.217760437393462,13.731371711879,0.104804381964922,0.356559055590069
"Ghana","child_vitA","prev",2,"nested5",0.217760437393462,13.731371711879,0.104804381964922,0.356559055590069
"Ghana","child_vitA","prev",2,"insample",0.258145514587279,13.8130194107872,0.104804381964922,0.356559055590069
