"country","outcome","target","estimand","arm","rep","n_units","collapsed","spearman","wmae"
"Ghana","women_vitA","level","infill","null_train_mean",2,75,FALSE,-0.270447708468101,0.131335460687985
"Ghana","women_vitA","level","infill","null_train_mean",3,75,FALSE,-0.170717394073262,0.130249664526207
"Ghana","women_vitA","level","infill","null_train_mean",4,75,FALSE,-0.182040486537305,0.130457560546513
"Ghana","women_vitA","level","infill","null_train_mean",5,75,FALSE,-0.122376499322925,0.130026058757809
"Ghana","women_vitA","level","infill","null_train_mean",6,75,FALSE,-0.0866652077055591,0.129409747854862
"Ghana","women_vitA","level","infill","null_train_mean",7,75,FALSE,-0.149377719814104,0.129932258683556
"Ghana","women_vitA","level","infill","null_train_mean",8,75,FALSE,-0.288738857833094,0.132203963268469
"Ghana","women_vitA","level","infill","null_train_mean",9,75,FALSE,-0.321837128112604,0.133135089075836
"Ghana","women_vitA","level","infill","null_train_mean",10,75,FALSE,-0.137619123793752,0.131081580147321
"Ghana","women_vitA","level","infill","spatial",1,75,FALSE,0.417183499288762,0.112258366771581
"Ghana","women_vitA","level","infill","spatial",2,75,FALSE,0.433399715504979,0.107010310881274
"Ghana","women_vitA","level","infill","spatial",3,75,FALSE,0.413001422475107,0.109617583257006
"Ghana","women_vitA","level","infill","spatial",4,75,FALSE,0.44950213371266,0.102214259229341
"Ghana","women_vitA","level","infill","spatial",5,75,FALSE,0.462844950213371,0.104965814125874
"Ghana","women_vitA","level","infill","spatial",6,75,FALSE,0.414366998577525,0.10794821034433
"Ghana","women_vitA","level","infill","spatial",7,75,FALSE,0.497268847795164,0.104754725227391
"Ghana","women_vitA","level","infill","spatial",8,75,FALSE,0.403584637268848,0.112064055551741
"Ghana","women_vitA","level","infill","spatial",9,75,FALSE,0.397837837837838,0.107448086665947
"Ghana","women_vitA","level","infill","spatial",10,75,FALSE,0.454566145092461,0.110368945007256
"Ghana","women_vitA","level","infill","domain_index",1,75,FALSE,0.482560455192034,0.123643481140996
"Ghana","women_vitA","level","infill","domain_index",2,75,FALSE,0.428876244665718,0.127705199496268
"Ghana","women_vitA","level","infill","domain_index",3,75,FALSE,0.498862019914651,0.127149373410467
"Ghana","women_vitA","level","infill","domain_index",4,75,FALSE,0.520455192034139,0.1156163511068
"Ghana","women_vitA","level","infill","domain_index",5,75,FALSE,0.536813655761024,0.120919643864417
"Ghana","women_vitA","level","infill","domain_index",6,75,FALSE,0.496130867709815,0.118296892944864
"Ghana","women_vitA","level","infill","domain_index",7,75,FALSE,0.519800853485064,0.11875023202714
"Ghana","women_vitA","level","infill","domain_index",8,75,FALSE,0.508421052631579,0.117784100473792
"Ghana","women_vitA","level","infill","domain_index",9,75,FALSE,0.481137980085348,0.123707516913041
"Ghana","women_vitA","level","infill","domain_index",10,75,FALSE,0.547482219061166,0.117391737799257
"Ghana","women_vitA","level","infill","domain_enet",1,75,FALSE,0.328591749644381,0.130952068471304
"Ghana","women_vitA","level","infill","domain_enet",2,75,FALSE,0.32850640113798,0.121986164138072
