"target","outcome","heldout","source","variant","n_cols","spearman"
"level","women_folate","Ghana","WFP prices","drop",378,-0.141280227596017
"level","women_folate","Ghana","WFP prices","only",4,-0.107681365576102
"level","women_folate","Malawi","WFP prices","drop",378,-0.0988007581832762
"level","women_folate","Malawi","WFP prices","only",4,-0.00191368375009113
"level","women_folate","SierraLeone","WFP prices","drop",378,0.0417582417582418
"level","women_folate","SierraLeone","WFP prices","only",4,-0.0681318681318681
"level","women_b12","Ghana","ALL","full",382,0.588165007112376
"level","women_b12","Malawi","ALL","full",382,0.412936502150616
"level","women_b12","SierraLeone","ALL","full",382,0.432967032967033
"level","women_b12","Ghana","GEE","drop",306,0.50827880512091
"level","women_b12","Ghana","GEE","only",76,0.49724039829303
"level","women_b12","Malawi","GEE","drop",306,0.341492308813881
"level","women_b12","Malawi","GEE","only",76,0.466246263760297
"level","women_b12","SierraLeone","GEE","drop",306,0.389010989010989
"level","women_b12","SierraLeone","GEE","only",76,0.38021978021978
"level","women_b12","Ghana","AlphaEarth","drop",318,0.590981507823613
