"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"prev","child_vitA","SierraLeone","full",1,"Ghana",-0.2
"prev","child_vitA","SierraLeone","climate_soil",1,"Ghana",0.415384615384615
"prev","child_vitA","SierraLeone","full",1,"Malawi",-0.221978021978022
"prev","child_vitA","SierraLeone","climate_soil",1,"Malawi",0.213186813186813
"prev","child_vitA","SierraLeone","full",2,"Gambia+Ghana",-0.221978021978022
"prev","child_vitA","SierraLeone","climate_soil",2,"Gambia+Ghana",0.314285714285714
"prev","child_vitA","SierraLeone","full",2,"Gambia+Malawi",-0.116483516483516
"prev","child_vitA","SierraLeone","climate_soil",2,"Gambia+Malawi",0.248351648351648
"prev","child_vitA","SierraLeone","full",2,"Ghana+Malawi",-0.195604395604396
"prev","child_vitA","SierraLeone","climate_soil",2,"Ghana+Malawi",0.169230769230769
"prev","child_vitA","SierraLeone","full",3,"Gambia+Ghana+Malawi",-0.2
"prev","child_vitA","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.235164835164835
"prev","women_vitA","Gambia","full",1,"Ghana",0.538551400096938
"prev","women_vitA","Gambia","climate_soil",1,"Ghana",0.631008590353231
"prev","women_vitA","Gambia","full",1,"Malawi",0.324773480494188
"prev","women_vitA","Gambia","climate_soil",1,"Malawi",0.230438986882437
"prev","women_vitA","Gambia","full",2,"Ghana+Malawi",0.561783029120727
"prev","women_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.552865838182303
"prev","women_vitA","Gambia","full",2,"Ghana+SierraLeone",0.336741289385231
"prev","women_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.44351291772689
"prev","women_vitA","Gambia","full",2,"Malawi+SierraLeone",0.00797853926069537
"prev","women_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.333221345593748
"prev","women_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.450083479470992
"prev","women_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.559905725765269
"prev","women_vitA","Ghana","full",1,"Gambia",0.190159053645258
"prev","women_vitA","Ghana","climate_soil",1,"Gambia",0.219133124172547
"prev","women_vitA","Ghana","full",1,"Malawi",0.18882178885169
"prev","women_vitA","Ghana","climate_soil",1,"Malawi",0.16029347325559
"prev","women_vitA","Ghana","full",2,"Gambia+Malawi",0.261658144607984
"prev","women_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.201748681856173
"prev","women_vitA","Ghana","full",2,"Gambia+SierraLeone",0.188064005468669
"prev","women_vitA","Ghana","climate_soil",2,"Gambia+SierraLeone",0.242223229608141
"prev","women_vitA","Ghana","full",2,"Malawi+SierraLeone",0.123429540446254
"prev","women_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.202907644677265
"prev","women_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.258716162062137
