"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.1,12,"B_district_survey",30,1020,656.8,0.264,0.654,12.9673686906706,0.5141263641714,0.244249190102508
"child_vitA","Gambia","prev","full",0.1,12,"C_regional_survey",30,1020,656.8,0.264,0.654,8.01371356568558,0.683444348396323,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,13,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.66909851770565,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,13,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,13.7568400788161,0.128967687824635,0.168146224978826
"child_vitA","Gambia","prev","full",0.1,13,"B_district_survey",30,1020,656.8,0.264,0.654,13.4895878971021,0.547507297769859,0.148489299014134
"child_vitA","Gambia","prev","full",0.1,13,"C_regional_survey",30,1020,656.8,0.264,0.654,13.7182884615153,0.0858849613343784,0.0777464265750897
"child_vitA","Gambia","prev","full",0.1,14,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.12792700590343,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,14,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,8.69872792395687,0.662212324529602,0.169088177280713
"child_vitA","Gambia","prev","full",0.1,14,"B_district_survey",30,1020,656.8,0.264,0.654,15.0772960708832,0.537121592327626,0.262127399882991
"child_vitA","Gambia","prev","full",0.1,14,"C_regional_survey",30,1020,656.8,0.264,0.654,8.51321170870889,0.653452774597016,0.306011767200004
"child_vitA","Gambia","prev","full",0.1,15,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.89683487690758,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,15,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.58462323259155,0.63102842764627,0.26856381374675
"child_vitA","Gambia","prev","full",0.1,15,"B_district_survey",30,1020,656.8,0.264,0.654,14.1750276421369,0.345599047334985,0.208986247962857
"child_vitA","Gambia","prev","full",0.1,15,"C_regional_survey",30,1020,656.8,0.264,0.654,9.61079778995218,0.625278871937062,0.306011767200004
"child_vitA","Gambia","prev","full",0.1,16,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.34415509706317,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,16,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,12.2798255221613,0.430560519110569,0.258791347159215
