"country","outcome","rep","fold","package","discrete_pick","w_domain_index","w_enet","w_rf","w_mean","w_hapc"
"Ghana","women_vitA",1,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",1,2,"SuperLearner","mean",0,0,0,1,NA
"Ghana","women_vitA",1,2,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",2,2,"SuperLearner","mean",0.0118958434288299,0,0,0.98810415657117,NA
"Ghana","women_vitA",2,2,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",2,3,"SuperLearner","mean",0.193966326207783,0.806033673792217,0,0,NA
"Ghana","women_vitA",2,3,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",2,1,"SuperLearner","rf",0,0,1,0,NA
"Ghana","women_vitA",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","women_vitA",2,4,"SuperLearner","mean",0.180824986413909,0,0,0.819175013586091,NA
"Ghana","women_vitA",2,4,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",2,5,"SuperLearner","mean",0.103500991811846,0,0,0.896499008188154,NA
"Ghana","women_vitA",2,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",3,5,"SuperLearner","mean",0,0,0,1,NA
"Ghana","women_vitA",3,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",3,1,"SuperLearner","enet",0.195240516814123,0.804759483185877,0,0,NA
"Ghana","women_vitA",3,1,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",3,4,"SuperLearner","enet",0.0510445999746569,0,0.291694091995704,0.657261308029639,NA
"Ghana","women_vitA",3,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","women_vitA",3,3,"SuperLearner","mean",0.18205278151301,0,0,0.81794721848699,NA
"Ghana","women_vitA",3,3,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",3,2,"SuperLearner","mean",0.16443998580767,0,0,0.83556001419233,NA
"Ghana","women_vitA",3,2,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","women_vitA",4,1,"SuperLearner","mean",0,0,0,1,NA
