"country","Admin1","Admin2","n_clusters","date_med","date_first","date_last","month_med","year_med","month_first","month_last","n_months"
"Malawi","Mzimba","Mzimba Boma",1,2016-02-14,2016-02-14,2016-02-14,2,2016,2,2,1
"Malawi","Mzimba","Mzuzu City",2,2016-01-17,2016-01-17,2016-01-17,1,2016,1,1,1
"Malawi","Mzimba","TA Chindi",2,2015-12-17,2015-12-17,2015-12-17,12,2015,12,12,1
"Malawi","Mzimba","TA M'Mbelwa",1,2016-02-11,2016-02-11,2016-02-11,2,2016,2,2,1
"Malawi","Mzimba","TA Mabulabo",1,2016-02-15,2016-02-15,2016-02-15,2,2016,2,2,1
"Malawi","Mzimba","TA Mtwalo",1,2016-01-11,2016-01-11,2016-01-11,1,2016,1,1,1
"Malawi","Neno","TA Ngozi",2,2015-12-20,2015-12-20,2015-12-20,12,2015,12,12,1
"Malawi","Neno","TA Symon",1,2016-02-11,2016-02-11,2016-02-11,2,2016,2,2,1
"Malawi","Nkhata Bay","Lake Malawi",3,2016-01-22,2016-01-22,2016-01-22,1,2016,1,1,1
"Malawi","Nkhata Bay","SC Malanda",1,2016-02-02,2016-02-02,2016-02-02,2,2016,2,2,1
"Malawi","Nkhata Bay","TA Fukamapiri",1,2016-02-07,2016-02-07,2016-02-07,2,2016,2,2,1
"Malawi","Nkhata Bay","TA Kabunduli",1,2015-12-13,2015-12-13,2015-12-13,12,2015,12,12,1
"Malawi","Nkhata Bay","TA Timbiri",1,2016-01-16,2016-01-16,2016-01-16,1,2016,1,1,1
"Malawi","Nkhotakota","Nkhotakota Boma",1,2016-01-18,2016-01-18,2016-01-18,1,2016,1,1,1
"Malawi","Nkhotakota","TA Kanyenda",1,2016-01-13,2016-01-13,2016-01-13,1,2016,1,1,1
"Malawi","Nkhotakota","TA Malenga Chanzi",1,2016-01-15,2016-01-15,2016-01-15,1,2016,1,1,1
"Malawi","Nkhotakota","TA Mwadzama",1,2016-01-19,2016-01-19,2016-01-19,1,2016,1,1,1
"Malawi","Nsanje","Nsanje Boma",1,2016-01-24,2016-01-24,2016-01-24,1,2016,1,1,1
"Malawi","Nsanje","SC Mbenje",1,2016-01-25,2016-01-25,2016-01-25,1,2016,1,1,1
"Malawi","Nsanje","TA Ndamera",1,2016-01-29,2016-01-29,2016-01-29,1,2016,1,1,1
"Malawi","Ntcheu","SC Goodson Ganya",1,2016-01-31,2016-01-31,2016-01-31,1,2016,1,1,1
"Malawi","Ntcheu","SC Makwangwala",1,2016-02-02,2016-02-02,2016-02-02,2,2016,2,2,1
"Malawi","Ntcheu","TA Njolomole",1,2016-02-04,2016-02-04,2016-02-04,2,2016,2,2,1
"Malawi","Ntcheu","TA Phambala",1,2016-02-07,2016-02-07,2016-02-07,2,2016,2,2,1
"Malawi","Ntchisi","SC Chilooko",1,2016-02-03,2016-02-03,2016-02-03,2,2016,2,2,1
"Malawi","Ntchisi","SC Nthondo",1,2015-12-21,2015-12-21,2015-12-21,12,2015,12,12,1
"Malawi","Ntchisi","TA Kalumo",1,2015-12-12,2015-12-12,2015-12-12,12,2015,12,12,1
"Malawi","Phalombe","TA Mkhumba",3,2016-01-26,2016-01-26,2016-01-26,1,2016,1,1,1
"Malawi","Rumphi","Rumphi Boma",2,2016-01-26,2016-01-26,2016-01-26,1,2016,1,1,1
"Malawi","Rumphi","SC Chapinduka",1,2016-01-29,2016-01-29,2016-01-29,1,2016,1,1,1
"Malawi","Rumphi","SC Kachulu",1,2016-02-05,2016-02-05,2016-02-05,2,2016,2,2,1
"Malawi","Rumphi","SC Mwankhunikira",1,2016-02-01,2016-02-01,2016-02-01,2,2016,2,2,1
"Malawi","Rumphi","TA Chikulamayembe",2,2016-02-02,2016-02-02,2016-02-02,2,2016,2,2,1
"Malawi","Salima","SC Kambwiri",1,2016-01-28,2016-01-28,2016-01-28,1,2016,1,1,1
"Malawi","Salima","TA Karonga",1,2016-01-30,2016-01-30,2016-01-30,1,2016,1,1,1
"Malawi","Salima","TA Khombedza",1,2016-01-26,2016-01-26,2016-01-26,1,2016,1,1,1
"Malawi","Salima","TA Maganga",1,2016-01-11,2016-01-11,2016-01-11,1,2016,1,1,1
"Malawi","Thyolo","SC Mbawela",1,2016-01-11,2016-01-11,2016-01-11,1,2016,1,1,1
"Malawi","Thyolo","TA Bvumbwe",1,2016-02-07,2016-02-07,2016-02-07,2,2016,2,2,1
"Malawi","Thyolo","TA Nchilamwela",1,2016-01-21,2016-01-21,2016-01-21,1,2016,1,1,1
"Malawi","Zomba","SC Mbiza",1,2016-01-23,2016-01-23,2016-01-23,1,2016,1,1,1
"Malawi","Zomba","TA Malemia",2,2016-01-18,2016-01-18,2016-01-18,1,2016,1,1,1
"SierraLeone","Eastern","Kailahun",3,2013-11-19,2013-11-19,2013-11-19,11,2013,11,11,1
"SierraLeone","Eastern","Kenema",6,2013-11-17,2013-11-17,2013-11-17,11,2013,11,11,1
"SierraLeone","Eastern","Kono",5,2013-11-29,2013-11-29,2013-11-29,11,2013,11,11,1
"SierraLeone","Northern","Bombali",3,2013-11-22,2013-11-22,2013-11-22,11,2013,11,11,1
"SierraLeone","Northern","Kambia",2,2013-11-16,2013-11-16,2013-11-16,11,2013,11,11,1
"SierraLeone","Northern","Koinadugu",3,2013-11-28,2013-11-28,2013-11-28,11,2013,11,11,1
"SierraLeone","Northern","Port Loko",6,2013-11-17,2013-11-17,2013-11-17,11,2013,11,11,1
"SierraLeone","Northern","Tonkolili",4,2013-11-21,2013-11-21,2013-11-21,11,2013,11,11,1
"SierraLeone","Southern","Bo",4,2013-11-20,2013-11-20,2013-11-20,11,2013,11,11,1
"SierraLeone","Southern","Bonthe",4,2013-11-29,2013-11-29,2013-11-29,11,2013,11,11,1
"SierraLeone","Southern","Moyamba",2,2013-12-02,2013-12-02,2013-12-02,12,2013,12,12,1
"SierraLeone","Southern","Pujehun",4,2013-11-20,2013-11-20,2013-11-20,11,2013,11,11,1
"SierraLeone","Western","Western Rural",6,2013-11-21,2013-11-21,2013-11-21,11,2013,11,11,1
"SierraLeone","Western","Western Urban",8,2013-11-15,2013-11-15,2013-11-15,11,2013,11,11,1
