"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Ghana","women_vitA",5,2,"mean","domain_index","domain_index","domain_index",0.0166599449052235,0.616849878886876,0.70118823539545,0.992618633207016
"Ghana","women_vitA",5,3,"mean","mean","domain_index","mean",0,0.350545456263976,0.254773909612485,0.00245833942942938
"Ghana","women_vitA",5,5,"mean","enet","enet","rf",0,0.251946102787273,0,0.992618633207016
"Ghana","women_vitA",5,1,"mean","domain_index","mean","domain_index",0,0.355659834215274,0.414880035296725,0.992618633207016
"Ghana","women_vitA",5,4,"mean","domain_index","domain_index","domain_index",0.281124759366591,0.514174674602242,0.788479950539575,0.978359700647004
"Ghana","child_iron",1,1,"rf","rf","rf","rf",0.352785519490789,0.294805811737259,0.0678834723873256,0.00246045559766148
"Ghana","child_iron",1,3,"enet","enet","enet","enet",0.505575776834068,0.261819791854253,0,0.00246045559766148
"Ghana","child_iron",1,4,"rf","domain_index","domain_index","rf",0.581217166699922,0.668138991779958,0.611251806123661,0.00245833942942938
"Ghana","child_iron",1,5,"rf","domain_index","rf","rf",0.471924193196236,0.611692426245616,0.356455616634934,0.00331841113082662
"Ghana","child_iron",1,2,"rf","domain_index","enet","enet",0.526872773318116,0.652937371142417,0.264084092797749,0.00384264291339285
"Ghana","child_iron",2,2,"rf","domain_index","domain_index","enet",0.556983120935935,0.509245928519148,0.483966551623637,0.00246045559766148
"Ghana","child_iron",2,3,"rf","rf","rf","enet",0.405241402085876,0.295787738913569,0.0461559389212719,0.00246045559766148
"Ghana","child_iron",2,1,"rf","domain_index","rf","domain_index",0.481282832378801,0.63534557679309,0.0122673657130119,0.992618633207016
"Ghana","child_iron",2,4,"enet","domain_index","enet","enet",0.639625461211772,0.936752752736196,0.222079602063078,0.339814748729055
