"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
14,0.167,0.02,-0.02,9.93,9.77,1.77,0.02,"women_iron","sierraleone","zscore + ridge_all","oracle_national"
14,0.167,-0.039,-0.002,15.05,15.03,-0.88,-0.02,"women_iron","sierraleone","zscore + curated16","train_mean"
14,0.167,0.064,-0.002,9.74,9.58,1.79,0.06,"women_iron","sierraleone","zscore + curated16","oracle_national"
97,0,0.109,0.016,23.12,16.34,-16.36,4.21,"women_iron","malawi","spatial_tps","train_mean"
97,0,0.094,0.016,17.14,17.12,0.73,0.23,"women_iron","malawi","spatial_tps","oracle_national"
97,0,0.071,0.158,23.73,16.38,-17.18,17.05,"women_iron","malawi","spatial + decorr20","train_mean"
97,0,0.095,0.158,20.53,20.32,2.92,0.11,"women_iron","malawi","spatial + decorr20","oracle_national"
97,0,0.207,0.038,23.78,16.38,-17.24,487.47,"women_iron","malawi","spatial + curated16","train_mean"
97,0,0.174,0.038,19.38,19.26,2.15,0.21,"women_iron","malawi","spatial + curated16","oracle_national"
97,0,0.219,0.329,19.42,19.42,-0.31,0.25,"women_iron","malawi","zscore + screen30","train_mean"
97,0,0.304,0.329,26.59,25.38,7.92,0.2,"women_iron","malawi","zscore + screen30","oracle_national"
97,0,0.003,-0.033,19.78,19.78,-0.2,0,"women_iron","malawi","zscore + decorr20","train_mean"
97,0,-0.011,-0.033,30.5,28.65,10.47,-0.01,"women_iron","malawi","zscore + decorr20","oracle_national"
97,0,0.225,0.295,19.31,19.31,0.05,0.25,"women_iron","malawi","zscore + ridge_all","train_mean"
97,0,0.237,0.295,30.39,28.92,9.34,0.14,"women_iron","malawi","zscore + ridge_all","oracle_national"
97,0,0.175,0.214,19.02,19.02,0,0.22,"women_iron","malawi","zscore + curated16","train_mean"
97,0,0.14,0.214,31.13,29.46,10.06,0.09,"women_iron","malawi","zscore + curated16","oracle_national"
75,0.627,-0.324,-0.284,47.61,31.1,-36.05,-1.98,"women_folate","ghana","spatial_tps","train_mean"
75,0.627,-0.303,-0.284,32.63,32.62,0.9,-1.09,"women_folate","ghana","spatial_tps","oracle_national"
75,0.627,0.054,-0.024,54.01,44.9,30.03,0.04,"women_folate","ghana","spatial + decorr20","train_mean"
