"country","outcome","target","predictor","r","p_perm","q_bh"
"SierraLeone","women_vitA","continuous","aef_A36.y",-0.837,0.000499750124937531,0.1143
"SierraLeone","women_vitA","continuous","soil_phosphorus_mean_20_50.x",0.825,0.000999500249875062,0.1143
"SierraLeone","child_iron","binary","aef_A52.x",0.74,0.00399800099950025,0.4464
"SierraLeone","child_iron","binary","aef_A52.y",0.74,0.00399800099950025,0.4464
"SierraLeone","child_iron","binary","lst_night_m09_t0",-0.69,0.00749625187406297,0.4464
"SierraLeone","child_iron","continuous","dhs_c_diarrhea_2wk.x",0.802,0.000499750124937531,0.1469
"SierraLeone","child_iron","continuous","dhs_c_diarrhea_2wk.y",0.802,0.000499750124937531,0.1469
"SierraLeone","child_iron","continuous","dhs_c_dpt1.x",-0.793,0.000999500249875062,0.1469
"SierraLeone","women_iron","binary","dhs_c_deworm_6mo",0.731,0.00399800099950025,0.6304
"SierraLeone","women_iron","binary","soil_iron_stdev_20_50.x",-0.654,0.00999500249875063,0.6304
"SierraLeone","women_iron","binary","soil_iron_stdev_20_50.y",-0.654,0.00999500249875063,0.6304
"SierraLeone","women_iron","continuous","precip_y2019",-0.647,0.0139930034982509,0.9866
"SierraLeone","women_iron","continuous","lcover_water_seasonal_frac_t0",-0.623,0.0144927536231884,0.9866
"SierraLeone","women_iron","continuous","aef_A52.x",0.59,0.023488255872064,0.9866
"SierraLeone","women_folate","binary","soil_aluminium_stdev_0_20.x",-0.729,0.00249875062468766,0.4925
"SierraLeone","women_folate","binary","soil_aluminium_stdev_0_20.y",-0.729,0.00249875062468766,0.4925
"SierraLeone","women_folate","binary","soil_aluminium_stdev_20_50.x",-0.682,0.00599700149925037,0.4925
"SierraLeone","women_folate","continuous","soil_aluminium_stdev_0_20.x",-0.627,0.0169915042478761,0.9749
"SierraLeone","women_folate","continuous","soil_aluminium_stdev_0_20.y",-0.627,0.0169915042478761,0.9749
"SierraLeone","women_folate","continuous","soil_aluminium_mean_20_50.x",0.599,0.0214892553723138,0.9749
"Malawi","child_vitA","binary","spam_share_pulses.x",0.315,0.000999500249875062,0.1905
"Malawi","child_vitA","binary","spam_share_pulses.y",0.315,0.000999500249875062,0.1905
"Malawi","child_vitA","binary","map_interventions202106africainsecticidetreatednetuserate",0.322,0.00199900049975012,0.1905
"Malawi","child_vitA","continuous","dhs_CN_ANMC_C_ANY.x",0.331,0.00199900049975012,0.5681
"Malawi","child_vitA","continuous","dhs_CN_ANMC_C_ANY.y",0.331,0.00199900049975012,0.5681
"Malawi","child_vitA","continuous","soil_calcium_stdev_0_20.x",0.291,0.00449775112443778,0.5681
"Malawi","women_vitA","binary","dhs_c_fg_flesh",-0.332,0.00349825087456272,0.9672
"Malawi","women_vitA","binary","precip_y2011",-0.305,0.00449775112443778,0.9672
"Malawi","women_vitA","binary","precip_y2016",-0.286,0.00699650174912544,0.9672
"Malawi","women_vitA","continuous","soil_calcium_mean_0_20.x",0.413,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","soil_calcium_mean_20_50.x",0.399,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","soil_iron_stdev_20_50.x",0.435,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","soil_magnesium_mean_0_20.x",0.394,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","soil_magnesium_mean_20_50.x",0.408,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","precip_y2011",-0.389,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","aef_A15.x",0.406,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","dhs_c_ari_2wk.x",-0.428,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","aef_A15.y",0.406,0.000499750124937531,0.0196
"Malawi","women_vitA","continuous","dhs_c_ari_2wk.y",-0.428,0.000499750124937531,0.0196
"Malawi","child_iron","binary","aef_A39.x",0.411,0.000499750124937531,0.0491
"Malawi","child_iron","binary","dhs_hh_electricity.x",0.36,0.000499750124937531,0.0491
"Malawi","child_iron","binary","dhs_hh_urban.x",0.348,0.000499750124937531,0.0491
"Malawi","child_iron","binary","aef_A39.y",0.411,0.000499750124937531,0.0491
"Malawi","child_iron","binary","dhs_hh_electricity.y",0.36,0.000499750124937531,0.0491
"Malawi","child_iron","binary","dhs_hh_urban.y",0.348,0.000499750124937531,0.0491
"Malawi","child_iron","binary","aef_A08.x",-0.357,0.000999500249875062,0.0491
"Malawi","child_iron","binary","dhs_w_secondary_plus.x",0.372,0.000999500249875062,0.0491
"Malawi","child_iron","binary","dhs_hh_wealth_poor.x",-0.363,0.000999500249875062,0.0491
"Malawi","child_iron","binary","aef_A08.y",-0.357,0.000999500249875062,0.0491
"Malawi","child_iron","continuous","aef_A39.x",0.459,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","dhs_w_secondary_plus.x",0.423,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","dhs_w_edu_years_mean.x",0.409,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","aef_A39.y",0.459,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","dhs_w_edu_years_mean.y",0.409,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","dhs_w_secondary_plus.y",0.423,0.000499750124937531,0.0465
"Malawi","child_iron","continuous","aef_A08.x",-0.35,0.000999500249875062,0.0465
"Malawi","child_iron","continuous","dhs_hh_wealth_poor.x",-0.393,0.000999500249875062,0.0465
"Malawi","child_iron","continuous","aef_A08.y",-0.35,0.000999500249875062,0.0465
"Malawi","child_iron","continuous","dhs_hh_wealth_poor.y",-0.393,0.000999500249875062,0.0465
"Malawi","women_iron","binary","dhs_w_owns_house",-0.318,0.00199900049975012,0.3448
