"unit","min_n","spatial","country","outcome","n_areas","p_used","n_basis","Q_obs","Q_null_mean","Q_ratio","Q_z","p_perm_Q","Tmax_obs","p_perm_Tmax","q_bh_Q","q_bh_Tmax"
"admin2",15,"S0_none","Ghana","child_vitA",33,358,0,0.118224487202668,0.0311744750418528,3.79234893431078,6.50462382726434,0.000999500249875062,0.669797470632249,0.00549725137431284,0.00449775112443778,0.0247376311844078
"admin2",15,"S0_none","SierraLeone","women_folate",14,369,0,0.0851716023854406,0.0765408428472462,1.1127601841989,0.294046233707243,0.32783608195902,0.714097023430772,0.429785107446277,0.45392688271249,0.552580852430927
"admin2",15,"S0_none","SierraLeone","child_vitA",13,369,0,0.0517785262270141,0.0832330372583485,0.622091034192321,-0.938802820156536,0.83808095952024,0.668844881744179,0.733633183408296,0.909604021518652,0.77678807654996
"admin2",15,"S0_none","SierraLeone","child_iron",13,369,0,0.121205462795647,0.0832367853928871,1.45615261598035,1.17487196139701,0.134432783608196,0.840846430112223,0.0804597701149425,0.241979010494753,0.284857571214393
"admin2",15,"S0_none","SierraLeone","women_iron",14,369,0,0.0968288588262212,0.076521963242328,1.26537342644472,0.675235527174394,0.222388805597201,0.746675636756972,0.288355822088956,0.363908954613602,0.432533733133433
"admin2",15,"S0_none","SierraLeone","women_vitA",14,369,0,0.0464443454938232,0.0760173354837189,0.610970447704925,-1.03216805692139,0.859070464767616,0.698549583879306,0.506246876561719,0.909604021518652,0.607496251874063
"admin2",15,"S1_latlon","Malawi","child_vitA",28,369,2,0.0522151133497807,0.0373891441874554,1.39653138590157,1.36987394470061,0.0964517741129435,0.570423321667396,0.278860569715142,0.347226386806597,0.456317295897506
"admin2",15,"S1_latlon","Malawi","child_zinc",27,369,2,0.0284766591658843,0.0386710932916168,0.736381021119399,-0.973831590915998,0.843078460769615,0.514525580549361,0.671664167916042,0.843078460769615,0.755622188905547
"admin2",15,"S1_latlon","Gambia","child_vitA",22,370,2,0.0486868448603002,0.0470461510849806,1.03487413396169,0.120403225724549,0.389805097451274,0.659595916177879,0.153423288355822,0.545727136431784,0.306846576711644
"admin2",15,"S1_latlon","Malawi","women_folate",13,369,2,0.146683404243309,0.0828833257440087,1.76975770369485,2.76154728215794,0.00449775112443778,0.887006518853345,0.0174912543728136,0.0809595202398801,0.157421289355322
"admin2",15,"S1_latlon","Malawi","child_iron",28,369,2,0.0550866517477718,0.0371461137869602,1.48297213710441,1.75037325955124,0.0604697651174413,0.641342250415742,0.0614692653673163,0.347226386806597,0.230284857571214
"admin2",15,"S1_latlon","Malawi","women_iron",12,369,2,0.0976294880058438,0.09226310800682,1.05816387627682,0.20164226696798,0.395802098950525,0.837084962681286,0.152923538230885,0.545727136431784,0.306846576711644
"admin2",15,"S1_latlon","Gambia","child_iron",22,370,2,0.0417516437375824,0.047318532232549,0.88235289151388,-0.387355844227711,0.598700649675162,0.602452985846585,0.421289355322339,0.673538230884558,0.544227886056972
"admin2",15,"S1_latlon","Malawi","women_zinc",13,369,2,0.100140300998738,0.0829844180206491,1.20673619683421,0.74578618426872,0.215892053973014,0.754756598980591,0.423288355822089,0.431784107946027,0.544227886056972
"admin2",15,"S1_latlon","Gambia","women_iron",27,371,2,0.0387739275886169,0.0386739921440338,1.00258404780688,0.0079052412636178,0.409795102448776,0.492377152249645,0.753623188405797,0.545727136431784,0.797953964194373
"admin2",15,"S1_latlon","Gambia","women_vitA",27,371,2,0.0281622382100985,0.0383797991908228,0.73377763312614,-0.844381530661236,0.815592203898051,0.443438791292032,0.932533733133433,0.843078460769615,0.932533733133433
"admin2",15,"S1_latlon","Ghana","women_iron",25,361,2,0.0636084629115501,0.0411386687794441,1.54619643266953,1.51224732931633,0.079960019990005,0.68137153009333,0.0429785107446277,0.347226386806597,0.230284857571214
"admin2",15,"S1_latlon","Ghana","child_iron",33,358,2,0.0406104093432012,0.0312521413669769,1.29944405621155,0.964115630201474,0.140929535232384,0.549833165130603,0.181409295352324,0.38552152495181,0.326536731634183
"admin2",15,"S1_latlon","Ghana","child_vitA",33,358,2,0.0371652828851442,0.031657014304623,1.17399836028494,0.54714158615966,0.242378810594703,0.497674662518063,0.461769115442279,0.436281859070465,0.554122938530735
"admin2",15,"S1_latlon","SierraLeone","women_folate",14,369,2,0.104097093995071,0.0768757837269562,1.35409473501822,0.97849411796255,0.149925037481259,0.806057072557959,0.104947526236882,0.38552152495181,0.306846576711644
"admin2",15,"S1_latlon","SierraLeone","child_vitA",13,369,2,0.0825467177526649,0.0836571539137798,0.986726345456846,-0.0361969366977568,0.442278860569715,0.903636097020953,0.00699650174912544,0.545727136431784,0.125937031484258
"admin2",15,"S1_latlon","SierraLeone","child_iron",13,369,2,0.105392791403471,0.0836177599079599,1.26041156232216,0.73898028171339,0.1984007996002,0.816933849573898,0.124437781109445,0.431784107946027,0.306846576711644
"admin2",15,"S1_latlon","SierraLeone","women_iron",14,369,2,0.11741014123119,0.0775857171881616,1.5132958163736,1.33365345432345,0.0899550224887556,0.831345574850108,0.063968015992004,0.347226386806597,0.230284857571214
"admin2",15,"S1_latlon","SierraLeone","women_vitA",14,369,2,0.0752691222376984,0.0773613913266773,0.972954608841718,-0.0768241409827867,0.454772613693153,0.744187294248128,0.322838580709645,0.545727136431784,0.484257871064468
"admin2",15,"S2_mem","Malawi","child_vitA",28,369,3,0.0433241922634932,0.0371918030057612,1.16488550600201,0.549461778715822,0.24087956021989,0.572491534254773,0.261369315342329,0.511744127936032,0.436690745536323
"admin2",15,"S2_mem","Malawi","child_zinc",27,369,3,0.0312234715719948,0.0387675526192613,0.805402184621831,-0.682915472938456,0.731634182908546,0.518766417029154,0.63368315842079,0.757621189405297,0.702178322603404
"admin2",15,"S2_mem","Gambia","child_vitA",22,370,2,0.0523363481287471,0.0475119773691609,1.10154009634458,0.348527493185393,0.316341829085457,0.643403508212387,0.239880059970015,0.569415292353823,0.436690745536323
"admin2",15,"S2_mem","Malawi","women_folate",13,369,2,0.134698614141577,0.0824364006209643,1.6339701045526,2.27699930199195,0.0179910044977511,0.823250711456488,0.128435782108946,0.233883058470765,0.330263439708717
"admin2",15,"S2_mem","Malawi","child_iron",28,369,3,0.0547042744466343,0.0370740509825255,1.47554078922799,1.60714894804137,0.0719640179910045,0.654995898984706,0.0449775112443778,0.287856071964018,0.330263439708717
"admin2",15,"S2_mem","Malawi","women_iron",12,369,2,0.0893841834456167,0.0920228951591959,0.971325486890906,-0.0977860163809245,0.506746626686657,0.806543773680706,0.266866566716642,0.677232812165346,0.436690745536323
