"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"child_iron","spam_share_pulses",0.307528930612038,0.337118581934721,3.80677084258056,4,2,0.734632683658171,1,"Agricultural production, land use",0.867145541153474
"child_iron","spam_share_vegetables",-0.752635423205212,-0.474501549469917,0.589885877534054,4,2,0.399300349825087,1,"Agricultural production, land use",0.577283063894409
"child_iron","tclim_aet_t0",-1.64924993757684,-1.35078362986529,1.68323441954185,4,3,0.0659670164917541,1,"Climate and weather",0.219693724566288
"child_iron","tclim_def_t0",1.50557095460218,1.14177192286633,1.30046830473345,4,3,0.0894552723638181,1,"Climate and weather",0.252279875100044
"child_iron","tclim_pdsi_t0",0.674793817470142,0.337396908735071,0,4,3,0.462768615692154,1,"Climate and weather",0.632280929132503
"child_iron","tclim_ro_t0",-1.57719111313412,-1.20055223766594,1.31767999284494,4,3,0.0824587706146927,1,"Climate and weather",0.246056971514243
"child_iron","tclim_srad_t0",-0.0984363665114067,-0.0770957610901338,1.4536343466374,4,2,0.906546726636682,1,"Climate and weather",0.951931337701935
"child_iron","tclim_tmmn_t0",-0.862933865616136,-0.489627235943502,0.287763468449806,4,3,0.344827586206897,1,"Climate and weather",0.518631813125695
"child_iron","tclim_vap_t0",-1.0709058062148,-0.999314465518534,2.48306671459056,4,3,0.245877061469265,1,"Climate and weather",0.428045236640939
"child_iron","tclim_vs_t0",-0.386868678235653,-0.256479590177031,0.758079355078719,4,3,0.691154422788606,1,"Climate and weather",0.828940835048714
"child_iron","wapor_mean_t0",-0.197080471201671,-0.0985402356008354,0,4,3,0.826086956521739,1,"Ecosystem productivity/greenness",0.925316620968795
"child_iron","wapor_sd_t0",0.914331001743879,0.825220191822731,2.2583129338695,4,3,0.314342828585707,1,"Ecosystem productivity/greenness",0.490585251307401
"child_iron","wsf",-1.04887288071368,-0.524436440356838,0,4,3,0.261869065467266,1,"Ruralness, population density, built environment",0.446014435704522
"child_iron","map_blooddisorders201201africahbcallelefrequency",0.985777346976293,0.870154406369827,2.11669978487813,4,2,0.281859070464768,1,"Malaria incidence and treatment",0.455930043636191
"child_iron","map_blooddisorders201201globalg6pddallelefrequency",0.143605427251503,0.0976024974116955,0.84773695646213,4,2,0.873563218390805,1,"Malaria incidence and treatment",0.933636333695616
"child_iron","map_blooddisorders201201globalsicklehaemoglobinhbsallelefrequency",-0.86983684904434,-0.550136648817824,0.600020484840999,4,2,0.335332333833083,1,"Malaria incidence and treatment",0.510526369468327
"child_iron","map_interventions202106africainsecticidetreatednetaccess",1.59244265536243,0.820809424649028,0.0627156002913691,4,3,0.0834582708645677,1,"Malaria incidence and treatment",0.247062976448284
"child_iron","map_interventions202106africainsecticidetreatednetuse",0.915706433359532,0.457853216679766,0,4,3,0.309345327336332,1,"Malaria incidence and treatment",0.48481431553131
"child_iron","map_interventions202106africainsecticidetreatednetuserate",0.372673076514489,0.186336538257244,0,4,2,0.673163418290855,1,"Malaria incidence and treatment",0.815832343568476
"child_iron","map_interventions202106globalantimalarialeffectivetreatment",0.141120355750475,0.0773819422657357,0.202707221142301,4,2,0.872063968015992,1,"Malaria incidence and treatment",0.933636333695616
"child_iron","map_interventions202406africainsecticidetreatednetuse",0.690161539832079,0.34508076991604,0,4,3,0.442278860569715,1,"Malaria incidence and treatment",0.611000055527792
"child_iron","map_interventions202406africainsecticidetreatednetuserate",0.209823573512147,0.104911786756074,0,4,3,0.822588705647176,1,"Malaria incidence and treatment",0.924173455440954
"child_iron","map_interventions202406globalantimalarialeffectivetreatment",-0.649699588864011,-0.324849794432005,0,4,3,0.47576211894053,1,"Malaria incidence and treatment",0.645306437690246
"child_iron","map_malaria202202globalpfreproductivenumber",-1.31745526469461,-1.04712233695733,1.52687107819986,4,2,0.138430784607696,1,"Malaria incidence and treatment",0.322184586718986
"child_iron","map_malaria202206globalpfincidencerate",-1.31745526469461,-1.04712233695733,1.52687107819986,4,2,0.139930034982509,1,"Malaria incidence and treatment",0.322184586718986
"child_iron","map_malaria202206globalpfparasiterate",-1.36244936191247,-1.07179779705804,1.47539763555918,4,3,0.12743628185907,1,"Malaria incidence and treatment",0.303949935860095
"child_iron","map_malaria202406globalpfincidencerate",-1.61709156968051,-1.18432691464891,1.14552689691195,4,3,0.0674662668665667,1,"Malaria incidence and treatment",0.222698385320614
"child_iron","map_malaria202406globalpfmortalityrate",-1.65824785077957,-1.05551334618207,0.620647498328898,4,3,0.0614692653673163,1,"Malaria incidence and treatment",0.210348953963385
"child_iron","map_malaria202406globalpfparasiterate",-1.640073229201,-1.19726620638419,1.13164539733292,4,3,0.0644677661169415,1,"Malaria incidence and treatment",0.216634925780353
"child_iron","dhs_w_iron_pregnancy",-0.162019386343647,-0.0810096931718235,0,4,2,0.861569215392304,1,"Food fortification and supplementation",0.931493673453129
"child_iron","dhs_w_iron_days",1.19293758774213,0.596468793871063,0,4,3,0.185907046476762,1,"Food fortification and supplementation",0.375836406121264
"child_iron","dhs_w_iron_90plus",1.28274705746357,0.641373528731787,0,4,3,0.157421289355322,1,"Food fortification and supplementation",0.345400828997266
"child_iron","dhs_w_deworm_pregnancy",-0.152917283467296,-0.0863129789274596,0.274380314246423,4,2,0.859570214892554,1,"Food fortification and supplementation",0.931493673453129
"child_iron","dhs_w_health_insurance",0.228292436421879,0.17266773909306,1.28822828673189,4,2,0.818590704647676,1,"Healthcare access",0.922460220041037
"child_iron","dhs_w_working",-0.40478575429577,-0.202392877147885,0,4,2,0.656671664167916,1,"Education, employment, SES",0.805718851100765
"child_iron","dhs_w_occ_agric",1.11033219449102,0.736595022162401,0.760401319823452,4,2,0.225387306346827,1,"Education, employment, SES",0.412057129330072
"child_iron","dhs_w_decides_earnings",-1.2766957371051,-0.685328083891047,0.152609600989464,4,2,0.172913543228386,1,"Education, employment, SES",0.357365516136959
"child_iron","dhs_w_owns_house",-0.478022146423351,-0.354411977694279,1.19877473362679,4,1,0.608695652173913,1,"Education, employment, SES",0.774892417272593
"child_iron","dhs_w_sib_n",1.40786778298628,0.869505046991812,0.144304820344256,3,2,0.114942528735632,1,"Adult and maternal mortality",0.294931301472551
"child_iron","dhs_w_sib_dead_prop",1.35280328014382,1.41912099642263,2.30134423257171,3,2,0.134432783608196,1,"Adult and maternal mortality",0.315367473495956
"child_iron","dhs_w_sib_adult_deaths",1.40095761340436,0.808843255222266,0,3,3,0.116941529235382,1,"Adult and maternal mortality",0.295041221111299
"child_iron","dhs_w_sib_adult_death_any",0.549196104199885,0.317078518597698,0,3,3,0.555222388805597,1,"Adult and maternal mortality",0.724118709875831
"child_iron","dhs_w_sib_mean_age_death",-0.463821695715173,-0.267787580877144,0,3,2,0.612693653173413,1,"Adult and maternal mortality",0.777329022563548
"child_iron","dhs_w_sib_maternal_deaths",0.218731817299388,0.126284873598138,0,3,2,0.809595202398801,1,"Adult and maternal mortality",0.915087910590159
"child_iron","dhs_w_sib_maternal_any",0.434415645194946,0.250809989693487,0,3,2,0.646676661669165,1,"Adult and maternal mortality",0.7960739102396
"child_iron","dhs_w_sib_female_n",1.25624541673234,1.10034379562732,1.30159588342141,3,2,0.152923538230885,1,"Adult and maternal mortality",0.341559759042634
"child_iron","dhs_w_sib_female_dead",0.819596432234797,0.473194220777617,0,3,2,0.371814092953523,1,"Adult and maternal mortality",0.543869241849663
