"unit","min_n","spatial","country","outcome","domain","n_pred","Q_obs","Q_ratio","Q_z","p_perm","q_bh"
"admin2",15,"S1_latlon","Malawi","women_folate","Built environment",12,0.0913776340111999,1.09394853637076,0.176770578480656,0.367816091954023,0.463175819497659
"admin2",15,"S1_latlon","Malawi","women_folate","Climate and weather",41,0.274440717026421,3.36119954258776,3.43419119351676,0.00899550224887556,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Dietary diversity",11,0.0582544798351854,0.693069548129664,-0.625432506084727,0.702148925537231,0.737843199612315
"admin2",15,"S1_latlon","Malawi","women_folate","Ecosystem productivity/greenness",16,0.154258174556335,1.90272856477251,1.16858573988477,0.114942528735632,0.355276907001045
"admin2",15,"S1_latlon","Malawi","women_folate","Education, employment, SES",9,0.230714940232055,2.80208045323514,2.6934382144628,0.0214892553723138,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Fertility, reproductive health",23,0.153928555750865,1.83535425774122,1.88928102954615,0.0539730134932534,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Food fortification and supplementation",6,0.0477783633079741,0.569794647225207,-0.674656817053845,0.716141929035482,0.737843199612315
"admin2",15,"S1_latlon","Malawi","women_folate","Healthcare access",6,0.232806684767611,2.77037600431291,2.07957819590399,0.0504747626186907,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Household assets and characteristics",12,0.302149243956943,3.60964896714317,3.11155239394223,0.0169915042478761,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Infant and child morbidity/mortality",37,0.100851518765701,1.20656402206591,0.610695139646651,0.256371814092954,0.403934396438145
"admin2",15,"S1_latlon","Malawi","women_folate","Malaria incidence and treatment",23,0.0930156194386999,1.12569326604944,0.262168793130987,0.337831084457771,0.459450274862569
"admin2",15,"S1_latlon","Malawi","women_folate","Ruralness, population density, built environment",9,0.102883492113017,1.24308098114381,0.248725142713456,0.28735632183908,0.414875895385641
"admin2",15,"S1_latlon","Malawi","women_folate","Soil characteristics",45,0.144939748004009,1.75238113571809,1.94957093296767,0.0474762618690655,0.229385307346327
"admin2",15,"S1_latlon","Malawi","women_folate","Water and sanitation",8,0.170005035839601,2.05794470613473,1.94192734804637,0.0509745127436282,0.229385307346327
"admin2",15,"S1_latlon","Malawi","child_iron","Adult and maternal mortality",9,0.0136409360528209,0.357897143392986,-0.833526448427789,0.826086956521739,0.904019688269073
"admin2",15,"S1_latlon","Malawi","child_iron","Adult nutrition",9,0.0287382838783556,0.777659762692689,-0.466498985401858,0.634682658670665,0.805678793256433
"admin2",15,"S1_latlon","Malawi","child_iron","Agricultural production, land use",80,0.0542919282561085,1.46116064911727,1.13820887788491,0.128435782108946,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Built environment",12,0.0534425623128599,1.42123557789753,0.736429323884445,0.198900549725137,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Climate and weather",41,0.0613223914436874,1.6647325572036,0.940638663691088,0.145427286356822,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Dietary diversity",11,0.0446090783293158,1.19917885507422,0.315739597589142,0.274862568715642,0.574440052700922
"admin2",15,"S1_latlon","Malawi","child_iron","Ecosystem productivity/greenness",16,0.0291712167433218,0.771585194350851,-0.274779696863339,0.473263368315842,0.686231884057971
"admin2",15,"S1_latlon","Malawi","child_iron","Education, employment, SES",9,0.109898810873566,2.91194958578201,2.83253710021524,0.0179910044977511,0.347826086956522
"admin2",15,"S1_latlon","Malawi","child_iron","Fertility, reproductive health",23,0.0545250202919542,1.47096865580336,1.04673750109567,0.138430784607696,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Food fortification and supplementation",6,0.0520658011123749,1.42131674226865,0.620597103065799,0.209895052473763,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Healthcare access",6,0.07123922574776,1.85901013135676,0.828726149917277,0.142428785607196,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Household assets and characteristics",12,0.165200086416496,4.44989555664446,4.5446084315812,0.00399800099950025,0.231884057971014
"admin2",15,"S1_latlon","Malawi","child_iron","Infant and child morbidity/mortality",37,0.0217942514836846,0.595326613039048,-1.19678864720953,0.922038980509745,0.954968944099379
"admin2",15,"S1_latlon","Malawi","child_iron","Malaria incidence and treatment",23,0.0532529785578974,1.43976669072137,0.897517959166445,0.160919540229885,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Ruralness, population density, built environment",9,0.0483983847930832,1.29528467747202,0.299751442528466,0.260369815092454,0.574440052700922
"admin2",15,"S1_latlon","Malawi","child_iron","Soil characteristics",45,0.0598289752184197,1.60884056893819,1.39298301674026,0.087456271864068,0.543768115942029
"admin2",15,"S1_latlon","Malawi","child_iron","Water and sanitation",8,0.0494062346331379,1.31067809172151,0.536760595833726,0.231384307846077,0.543768115942029
"admin2",15,"S1_latlon","Malawi","women_iron","Adult and maternal mortality",9,0.175522529713158,1.96826080958351,1.30758160725833,0.113943028485757,0.493913043478261
"admin2",15,"S1_latlon","Malawi","women_iron","Adult nutrition",9,0.101823547456314,1.10361724027543,0.236513802344045,0.369315342328836,0.577639751552795
"admin2",15,"S1_latlon","Malawi","women_iron","Agricultural production, land use",80,0.0723110209923419,0.78773161830651,-0.604781070895588,0.697651174412794,0.763467322942302
"admin2",15,"S1_latlon","Malawi","women_iron","Built environment",12,0.040266424133536,0.437230567034413,-1.06431064399586,0.892053973013493,0.892053973013493
"admin2",15,"S1_latlon","Malawi","women_iron","Climate and weather",41,0.131818948221082,1.42715955734537,0.653011236315645,0.211894052973513,0.493913043478261
"admin2",15,"S1_latlon","Malawi","women_iron","Dietary diversity",11,0.0819548777923407,0.888847100488108,-0.232341198184098,0.528235882058971,0.645962732919255
"admin2",15,"S1_latlon","Malawi","women_iron","Ecosystem productivity/greenness",16,0.088494096716319,0.949466908540481,-0.0682468428300598,0.3968015992004,0.577639751552795
"admin2",15,"S1_latlon","Malawi","women_iron","Education, employment, SES",9,0.141619497572744,1.51559061574695,0.778946022538812,0.19240379810095,0.493913043478261
"admin2",15,"S1_latlon","Malawi","women_iron","Fertility, reproductive health",23,0.0959815706385664,1.04181930192738,0.0947517919796551,0.389305347326337,0.577639751552795
"admin2",15,"S1_latlon","Malawi","women_iron","Food fortification and supplementation",6,0.116335007875135,1.28542566725708,0.451305556059181,0.270364817591204,0.560041407867495
"admin2",15,"S1_latlon","Malawi","women_iron","Healthcare access",6,0.140896102950852,1.53167814847145,0.611678931724161,0.197901049475262,0.493913043478261
"admin2",15,"S1_latlon","Malawi","women_iron","Household assets and characteristics",12,0.0843946191405577,0.895254246858901,-0.124180746987376,0.405297351324338,0.577639751552795
"admin2",15,"S1_latlon","Malawi","women_iron","Infant and child morbidity/mortality",37,0.12346239877063,1.34096460122494,0.944870200894135,0.157421289355322,0.493913043478261
"admin2",15,"S1_latlon","Malawi","women_iron","Malaria incidence and treatment",23,0.0911575275516635,0.98688742877393,-0.0268598778342845,0.446276861569215,0.578421900161031
"admin2",15,"S1_latlon","Malawi","women_iron","Ruralness, population density, built environment",9,0.024352717769671,0.257127206883089,-0.765438106661131,0.777611194402799,0.805383022774327
"admin2",15,"S1_latlon","Malawi","women_iron","Soil characteristics",45,0.0953285694764227,1.0344470653173,0.0870159470407989,0.410294852573713,0.577639751552795
"admin2",15,"S1_latlon","Malawi","women_iron","Water and sanitation",8,0.188530020791559,2.00741690680524,1.94268572350917,0.0474762618690655,0.457971014492754
"admin2",15,"S1_latlon","Gambia","child_iron","Adult and maternal mortality",9,0.0463484198535712,0.981389892248519,-0.031305827330924,0.436281859070465,0.648829431438127
"admin2",15,"S1_latlon","Gambia","child_iron","Adult nutrition",9,0.0317222563341455,0.678793316834653,-0.529035116259603,0.652173913043478,0.805678793256433
"admin2",15,"S1_latlon","Gambia","child_iron","Agricultural production, land use",80,0.0365900122063967,0.775371393215762,-0.537188088561279,0.662168915542229,0.805678793256433
"admin2",15,"S1_latlon","Gambia","child_iron","Built environment",12,0.0139927267496601,0.29880138521198,-1.21979019117213,0.956521739130435,0.964017991004498
"admin2",15,"S1_latlon","Gambia","child_iron","Climate and weather",41,0.0254935095121661,0.541100085015276,-1.06084624912444,0.906046976511744,0.954968944099379
"admin2",15,"S1_latlon","Gambia","child_iron","Dietary diversity",11,0.111318410517463,2.30963649118772,1.96700133520949,0.0474762618690655,0.521739130434783
