"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"Malawi","200","Nsanje","SC Mbenje",37,24,2016-01-25,2016-01-25,2016-01-25,1,2016
"Malawi","205","Nkhata Bay","TA Timbiri",31,19,2016-01-16,2016-01-15,2016-01-17,1,2016
"Malawi","209","Salima","SC Kambwiri",30,21,2016-01-28,2016-01-28,2016-01-28,1,2016
"Malawi","218","Zomba","TA Malemia",19,13,2016-01-16,2016-01-15,2016-01-16,1,2016
"Malawi","219","Nkhotakota","TA Malenga Chanzi",32,23,2016-01-15,2016-01-15,2016-01-16,1,2016
"Malawi","223","Kasungu","TA Kaluluma",27,15,2015-12-16,2015-12-16,2015-12-16,12,2015
"Malawi","227","Nkhata Bay","Lake Malawi",30,17,2016-02-04,2016-02-04,2016-02-05,2,2016
"Malawi","23","Mangochi","TA Nankumba",41,28,2016-01-11,2016-01-11,2016-01-12,1,2016
"Malawi","232","Chiradzulu","TA Mpama",27,19,2016-02-09,2016-02-08,2016-02-09,2,2016
"Malawi","234","Mangochi","TA Mponda",23,17,2015-12-24,2015-12-23,2015-12-24,12,2015
"Malawi","238","Dowa","TA Dzoole",28,19,2016-02-11,2016-02-11,2016-02-11,2,2016
"Malawi","240","Ntcheu","TA Phambala",36,21,2016-02-07,2016-02-07,2016-02-08,2,2016
"Malawi","242","Rumphi","TA Chikulamayembe",26,18,2016-02-03,2016-02-03,2016-02-04,2,2016
"Malawi","245","Dedza","TA Kaphuka",28,19,2016-01-21,2016-01-21,2016-01-22,1,2016
"Malawi","253","Phalombe","TA Mkhumba",41,30,2016-01-26,2016-01-26,2016-01-27,1,2016
"Malawi","270","Mzimba","TA Mabulabo",37,29,2016-02-15,2016-02-15,2016-02-16,2,2016
"Malawi","271","Mchinji","TA Zulu",37,25,2016-01-29,2016-01-29,2016-01-29,1,2016
"Malawi","276","Mulanje","SC Juma",24,18,2015-12-15,2015-12-14,2015-12-16,12,2015
"Malawi","282","Neno","TA Symon",28,16,2016-02-11,2016-02-11,2016-02-12,2,2016
"Malawi","294","Lilongwe","TA Khongoni",28,21,2015-12-12,2015-12-12,2015-12-13,12,2015
"Malawi","303","Balaka","TA Nsamala",26,18,2015-12-15,2015-12-15,2015-12-21,12,2015
"Malawi","309","Karonga","Karonga Town",35,19,2016-02-09,2016-02-08,2016-02-09,2,2016
"Malawi","315","Kasungu","SC Kawamba",37,24,2016-01-23,2016-01-23,2016-01-24,1,2016
"Malawi","321","Dedza","TA Kachindamoto",31,23,2016-01-23,2016-01-23,2016-01-23,1,2016
"Malawi","342","Nkhata Bay","Lake Malawi",30,22,2016-01-22,2016-01-22,2016-01-23,1,2016
"Malawi","344","Mangochi","SC Chowe",32,22,2015-12-19,2015-12-19,2015-12-22,12,2015
"Malawi","361","Karonga","TA Kilupula",22,14,2015-12-18,2015-12-18,2015-12-18,12,2015
"Malawi","369","Lilongwe","TA Kabudula",31,18,2015-12-17,2015-12-16,2015-12-17,12,2015
"Malawi","37","Mzimba","Mzuzu City",12,4,2016-01-19,2016-01-19,2016-01-20,1,2016
"Malawi","377","Ntcheu","TA Njolomole",35,22,2016-02-04,2016-02-04,2016-02-05,2,2016
"Malawi","387","Mzimba","Mzuzu City",28,17,2016-01-15,2016-01-14,2016-01-15,1,2016
"Malawi","388","Karonga","TA Kyungu",34,22,2016-01-12,2016-01-11,2016-01-12,1,2016
