"country","outcome","rep","arm","n_areas","spearman","topk","secs_sl","secs_mlr3"
"Ghana","women_vitA",2,"hapc",75,-0.023962515144469,0.315789473684211,25.2458837032318,0
"Ghana","women_vitA",3,"sl_discrete",75,-0.177460285772881,0.157894736842105,26.438845872879,0
"Ghana","women_vitA",3,"sl_nnls",75,-0.0124839037709171,0.210526315789474,26.438845872879,0
"Ghana","women_vitA",3,"mlr3_discrete",75,NA,NA,26.438845872879,0
"Ghana","women_vitA",3,"domain_index",75,0.0607013827572705,0.263157894736842,26.438845872879,0
"Ghana","women_vitA",3,"enet",75,-0.0483271472478841,0.210526315789474,26.438845872879,0
"Ghana","women_vitA",3,"rf",75,0.0183694338064007,0.210526315789474,26.438845872879,0
"Ghana","women_vitA",3,"mean",75,-0.127028917352335,0.157894736842105,26.438845872879,0
"Ghana","women_vitA",3,"hapc",75,-0.0434834656969426,0.210526315789474,26.438845872879,0
"Ghana","women_vitA",4,"sl_discrete",75,-0.116956972597724,0.157894736842105,23.0277779102325,0
"Ghana","women_vitA",4,"sl_nnls",75,-0.0542443985262619,0.263157894736842,23.0277779102325,0
"Ghana","women_vitA",4,"mlr3_discrete",75,NA,NA,23.0277779102325,0
"Ghana","women_vitA",4,"domain_index",75,0.132552372103501,0.315789473684211,23.0277779102325,0
"Ghana","women_vitA",4,"enet",75,-0.0774243337121488,0.157894736842105,23.0277779102325,0
"Ghana","women_vitA",4,"rf",75,0.0634248112519508,0.263157894736842,23.0277779102325,0
"Ghana","women_vitA",4,"mean",75,-0.097929782099818,0.157894736842105,23.0277779102325,0
"Ghana","women_vitA",4,"hapc",75,0.0166878537962626,0.210526315789474,23.0277779102325,0
"Ghana","women_vitA",5,"sl_discrete",75,-0.102686371516095,0.210526315789474,22.9125950336456,0
"Ghana","women_vitA",5,"sl_nnls",75,-0.059698319030261,0.263157894736842,22.9125950336456,0
"Ghana","women_vitA",5,"mlr3_discrete",75,NA,NA,22.9125950336456,0
"Ghana","women_vitA",5,"domain_index",75,0.0929804077344881,0.210526315789474,22.9125950336456,0
"Ghana","women_vitA",5,"enet",75,0.125126939671143,0.315789473684211,22.9125950336456,0
"Ghana","women_vitA",5,"rf",75,0.0235603981855229,0.263157894736842,22.9125950336456,0
"Ghana","women_vitA",5,"mean",75,-0.102686371516095,0.210526315789474,22.9125950336456,0
"Ghana","women_vitA",5,"hapc",75,-0.0597326464470822,0.105263157894737,22.9125950336456,0
"Ghana","child_iron",1,"sl_discrete",75,0.541241188204561,0.578947368421053,22.7894821166992,0
"Ghana","child_iron",1,"sl_nnls",75,0.540484467117327,0.526315789473684,22.7894821166992,0
"Ghana","child_iron",1,"mlr3_discrete",75,NA,NA,22.7894821166992,0
"Ghana","child_iron",1,"domain_index",75,0.516297947838586,0.473684210526316,22.7894821166992,0
"Ghana","child_iron",1,"enet",75,0.527805819467078,0.578947368421053,22.7894821166992,0
"Ghana","child_iron",1,"rf",75,0.541241188204561,0.578947368421053,22.7894821166992,0
"Ghana","child_iron",1,"mean",75,-0.157146926834408,0.105263157894737,22.7894821166992,0
"Ghana","child_iron",1,"hapc",75,0.539070969237401,0.526315789473684,22.7894821166992,0
"Ghana","child_iron",2,"sl_discrete",75,0.476377341047936,0.578947368421053,22.8373551368713,0
"Ghana","child_iron",2,"sl_nnls",75,0.419594703992709,0.526315789473684,22.8373551368713,0
"Ghana","child_iron",2,"mlr3_discrete",75,NA,NA,22.8373551368713,0
"Ghana","child_iron",2,"domain_index",75,0.45591731617991,0.526315789473684,22.8373551368713,0
"Ghana","child_iron",2,"enet",75,0.487171324858284,0.631578947368421,22.8373551368713,0
"Ghana","child_iron",2,"rf",75,0.476377341047936,0.578947368421053,22.8373551368713,0
"Ghana","child_iron",2,"mean",75,-0.256811737177232,0.157894736842105,22.8373551368713,0
"Ghana","child_iron",2,"hapc",75,0.476634340662468,0.526315789473684,22.8373551368713,0
"Ghana","child_iron",3,"sl_discrete",75,0.555533222323817,0.526315789473684,22.3672561645508,0
"Ghana","child_iron",3,"sl_nnls",75,0.506474851460915,0.526315789473684,22.3672561645508,0
"Ghana","child_iron",3,"mlr3_discrete",75,NA,NA,22.3672561645508,0
