"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin2","prev","women_vitA","SierraLeone",14,0.185410764710102,0.312147236790425,-0.330923010431954,0.279289632917748,0.312147236790425,0.189581482272582,0.198523458925091,0.190104708120484,0.288677519738513,0.330923010431954,0.432967032967033,0.0197802197802198
"admin2","prev","child_iron","Gambia",30,0.507064192702715,0.538435869390334,0.432528648799508,0.423628882363304,0.496161978818365,0.343568691208769,0.406520548121919,0.514628994173488,0.551785519044639,-0.432528648799508,-0.522135706340378,-0.598665183537264
"admin2","prev","child_iron","Ghana",75,0.567512259912284,0.579848241409824,0.274932476523874,0.49011254266904,0.531817869005051,0.536476924654347,0.546487839395535,0.567526537668647,0.577920744300834,-0.274932476523874,-0.267681365576102,-0.245490753911807
"admin2","prev","child_iron","Malawi",87,-0.0826690805634047,0.141159461593095,-0.152815583058236,0.134401100086312,0.2175626928243,-0.0724570999325134,0.11483129972121,-0.0921362590303966,0.117746892108733,0.152815583058236,0.195432674783116,-0.0736677115987461
"admin2","prev","child_iron","SierraLeone",14,0.274725274725275,0.221978021978022,0.252747252747253,0.032967032967033,0.0461538461538462,0.196220779568049,0.255256974053509,0.27032967032967,0.221978021978022,-0.252747252747253,0.0945054945054945,-0.397802197802198
"admin2","prev","women_iron","Gambia",30,0.550673048240114,0.734898213469534,-0.572922464330623,0.728445882803286,0.752030263859226,0.489526276742966,0.633197831671866,0.535098456976757,0.682834579817741,-0.572922464330623,-0.496329254727475,-0.291212458286986
"admin2","prev","women_iron","Ghana",75,0.340122328225629,0.302497221905141,-0.177348780308351,0.410854650470952,0.333935408257059,0.382480430928221,0.373457595576577,0.339129543393463,0.297058487607189,0.177348780308351,-0.282389758179232,-0.172745376955903
"admin2","prev","women_iron","Malawi",87,0.205535597740823,0.165770638141878,-0.156310724568758,0.212959130701334,0.184866334522843,0.179278215646091,0.138266286655545,0.205443034985705,0.161336882171698,0.156310724568758,0.205474958081213,0.206495589414595
"admin2","prev","women_iron","SierraLeone",14,-0.208791208791209,0.0593406593406593,0.0725274725274725,-0.208791208791209,0.120879120879121,-0.249008954429722,0.0347125403953303,-0.208791208791209,0.0417582417582418,0.0725274725274725,0.375824175824176,0.340659340659341
"admin2","prev","women_folate","Ghana",75,0.0240004431512765,0.0759491458154111,-0.200825560834107,0.167604044809389,0.125375236580629,0.131683066845508,0.157970128926264,0.019838846120295,0.0598158312980447,-0.200825560834107,0.345064011379801,0.453115220483642
"admin2","prev","women_folate","Malawi",87,0.221760509139214,0.435590029159232,-0.116442186492987,0.253344835525872,0.394091966373579,0.298515779026026,0.423602421137285,0.204576699380956,0.428645759343598,0.116442186492987,0.202704673033462,-0.413665524531603
"admin2","prev","women_folate","SierraLeone",14,0.16043956043956,-0.0197802197802198,0.248351648351648,0.103296703296703,0.0241758241758242,0.105252862202454,0.0532589226573441,0.16043956043956,-0.0153846153846154,-0.248351648351648,0.279120879120879,-0.248351648351648
"admin2","prev","women_b12","Ghana",75,0.239848071169391,0.291817885633299,0.203682326466747,0.259881860846014,0.286096287763298,0.139319798706295,0.218705441093867,0.241192400754893,0.294227842329259,-0.203682326466747,-0.566201991465149,-0.698036984352774
"admin2","prev","women_b12","Malawi",87,0.272169031035008,0.234119668100649,0.0936843240176551,0.00582349049449223,0.0342693707517731,0.267879383613073,0.259945964454322,0.277599172089181,0.267506401083899,-0.0936843240176551,0.204873514616899,-0.0642450973244879
"admin2","prev","women_b12","SierraLeone",14,-0.151411196783981,0.0908467180703886,-0.231246191451898,-0.0853408563691529,0.0853408563691529,-0.0416629954831995,0.163727947017585,-0.151411196783981,0.0908467180703886,0.231246191451898,-0.27032967032967,-0.503296703296703
