indicator_id,level1,level2
CH_DSTL_C_DDP,Child Health,Disposal of children's stools
CH_DSTL_C_DKM,Child Health,Disposal of children's stools
CH_DSTL_C_GBG,Child Health,Disposal of children's stools
CH_DSTL_C_NON,Child Health,Disposal of children's stools
CH_DSTL_C_NUM,Child Health,Disposal of children's stools
CH_DSTL_C_ODW,Child Health,Disposal of children's stools
CH_DSTL_C_OPN,Child Health,Disposal of children's stools
CH_DSTL_C_OTH,Child Health,Disposal of children's stools
CH_DSTL_C_OYD,Child Health,Disposal of children's stools
CH_DSTL_C_RDR,Child Health,Disposal of children's stools
CH_DSTL_C_RTL,Child Health,Disposal of children's stools
CH_DSTL_C_SAF,Child Health,Disposal of children's stools
CH_DSTL_C_TLT,Child Health,Disposal of children's stools
CH_DSTL_C_TOT,Child Health,Disposal of children's stools
CH_DSTL_C_UNW,Child Health,Disposal of children's stools
CH_DSTL_C_WDP,Child Health,Disposal of children's stools
CH_FEVR_C_FEV,Child Health,Prevalence of fever
CH_FEVR_C_NUM,Child Health,Prevalence of fever
CH_FEVR_C_UNW,Child Health,Prevalence of fever
CH_FEVT_C_ABI,Child Health,Treatment of fever
CH_FEVT_C_ADV,Child Health,Treatment of fever
CH_FEVT_C_AML,Child Health,Treatment of fever
CH_FEVT_C_AT1,Child Health,Treatment of fever
