prefix,level1,level2
RH_DELP,Reproductive Health,Place of delivery
RH_DURH,Reproductive Health,Duration of stay in health facility
RH_PAHC,Reproductive Health,Problems in accessing health care
RH_PCCP,Reproductive Health,Type of provider of first postnatal checkup for the newborn
RH_PCCT,Reproductive Health,Timing of first postnatal checkup for the newborn
RH_PCMP,Reproductive Health,Type of provider of first postnatal checkup for the mother
RH_PCMT,Reproductive Health,Timing of first postnatal checkup for the mother
RH_TTIJ,Reproductive Health,Tetanus toxoid injections
SV_BACK,Survey Characteristics,Background characteristics
SV_HRES,Survey Characteristics,Results of the household interviews
SV_HRSM,Survey Characteristics,Results of the household interviews for men's subsample
SV_INTV,Survey Characteristics,Interview date and duration
SV_RESI,Survey Characteristics,Results of the individual interviews
SX_AAFS,Sexual Activity,Median age at first sexual intercourse
SX_LSEX,Sexual Activity,Timing of last sexual intercourse
SX_SACY,Sexual Activity,Sexual activity among 15-19 year olds
SX_SBAG,Sexual Activity,First sexual intercourse by exact age
SX_SBAY,Sexual Activity,First sexual intercourse by exact age (age 20-24)
WE_AWBT,Women's Empowerment,Attitude toward wife beating
WE_DMAK,Women's Empowerment,Participation in decision making
WE_DMKH,Women's Empowerment,Participation in decision making: Own health care
WE_DMKP,Women's Empowerment,Participation in decision making: Major household purchases
WE_DMKV,Women's Empowerment,Participation in decision making: Visits to her family or relatives
WE_IDMH,Women's Empowerment,Informed decision making for reproductive health
WE_JRSX,Women's Empowerment,Justified in refusing sex
WE_OWNA,Women's Empowerment,Ownership of assets
WE_WEMP,Women's Empowerment,Indicators of women's empowerment
WS_ASDW,Water and Sanitation,Availability of sufficient drinking water
WS_ERWA,Water and Sanitation,Emptying and removal of waste
WS_HNDW,Water and Sanitation,Handwashing
WS_MHEX,Water and Sanitation,Management of household excreta
WS_MHYG,Water and Sanitation,Menstrual hygiene
WS_PCDW,Water and Sanitation,Person collecting drinking water
WS_SRCE,Water and Sanitation,Source of drinking water
WS_TIME,Water and Sanitation,Time to obtain drinking water (round trip)
WS_TLET,Water and Sanitation,Household sanitation facilities
WS_TLOC,Water and Sanitation,Location of toilet facilities
WS_WAVL,Water and Sanitation,Availability of water
WS_WTRT,Water and Sanitation,Water treatment prior to drinking
