"mkt_name","adm1_name","adm2_name","lat","lon","n_months","fpi_cur","fpi_prev","fpi_volatility","fpi_seasonal_range","stp_cur","stp_prev","coverage","interpolated","fpi_rel_national","fpi_inflation_12m","staple_rel_national","staple_inflation_12m","country"
"Dyelatu","Southern Region","Chikwawa",-16.04,34.8,12,-0.214099761034653,-0.364999826360819,0.0605880600390798,0.319770387003281,4.89642932874461,4.23351815101636,41.79,0,0.0606126367755729,0.150900065326166,0.0411621416800791,0.662911177728253,"Malawi"
"Dzaleka","Central Region","Dowa",-13.66,33.87,12,-0.344544046422865,-0.510154654908167,0.0936735667963757,0.49429632181478,4.4464447223793,4.09489441678126,41.79,0,-0.0698316486126396,0.165610608485301,-0.408822464685236,0.351550305598039,"Malawi"
"Dzaleka (inside Camp)","Central Region","Dowa",-13.66,33.88,12,-0.300185283705483,-0.475223121771342,0.0762600236020307,0.43157625211185,4.60175725724901,4.1742474612714,41.79,0,-0.0254728858952568,0.17503783806586,-0.253509929815527,0.427509795977603,"Malawi"
"Embangweni","Northern Region","Mzimba",-12.17,33.47,12,-0.291610087512766,-0.697367761088209,0.0450148687286983,0.416514944294749,4.69364516643193,4.29501340710682,41.79,0,-0.0168976897025402,0.405757673575443,-0.1616220206326,0.398631759325118,"Malawi"
"Euthini","Northern Region","Mzimba",-11.45,33.42,12,-0.260438831674539,-0.553605205121103,0.0678721823714341,0.177681177237452,4.15856906476736,3.87115016658285,41.79,0,0.0142735661356867,0.293166373446564,-0.696698122297174,0.287418898184509,"Malawi"
"Golomoti","Central Region","Ntcheu",-14.43,34.59,12,-0.326386288362343,-0.561224575095537,0.065432176863433,0.279960026357871,4.59916758317317,4.25812490203403,41.79,0,-0.0516738905521177,0.234838286733194,-0.256099603891362,0.341042681139146,"Malawi"
"Hewe","Northern Region","Mzimba",-11.2,33.47,12,-0.504256489071294,-0.711798777097351,0.0641997854480529,0.354821375289409,4.67824260032284,4.14574937462629,41.79,0,-0.229544091261068,0.207542288026057,-0.177024586741692,0.532493225696554,"Malawi"
"Jali","Southern Region","Zomba",-15.5,35.47,12,-0.314281575722691,-0.573003457170056,0.0577082279683975,0.261215499263618,4.9218461637456,4.3534383680752,41.79,0,-0.0395691779124654,0.258721881447365,0.0665789766810683,0.568407795670403,"Malawi"
"Jenda","Northern Region","Mzimba",-12.35,33.55,12,-0.391115860904428,-0.604736941039406,0.072418485492811,0.47873730921449,4.77277919815751,4.29788286251161,41.79,0,-0.116403463094202,0.213621080134978,-0.0824879889070242,0.474896335645898,"Malawi"
"Kambilonje","Central Region","Ntcheu",-15,34.67,12,-0.311593193196593,-0.548898429710773,0.0662335116515486,0.246400413478477,4.49808370361484,4.09429518767614,41.79,0,-0.0368807953863672,0.23730523651418,-0.357183483449696,0.403788515938697,"Malawi"
