"column","full","median","lo","hi","sign_agree","domain","source","plain","label","rank"
"glw_sheep_km2",-0.514537803860144,-0.262641766780127,-1.26399462174323,1.20038635715307,0.636666666666667,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","Sheep density","Sheep density",295
"mics_heat_vzero24_35_sy",0.200519542228914,0.25927397899988,-0.517534507642657,0.911486385533343,0.69,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vzero24 35 sy",296
"clim_pet_ann",0.292456155538342,0.249082991368403,-0.223564065020238,0.778839402662489,0.783333333333333,"Climate and weather","GEE",NA,"clim pet ann",297
"aef_A38",0.428602136632183,0.240717007428863,-0.303054175667879,0.794405863704416,0.766666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A38",298
"aef_A23",-0.135725830934768,-0.240394112472735,-0.921256517065233,0.457574929710117,0.716666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A23",299
"aef_A06",0.275338951970684,0.240382027763708,-0.380104508732608,0.94363341475672,0.723333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A06",300
"aef_A36",-0.271990302318532,-0.237114781153725,-0.912657289791682,0.294894516682925,0.756666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A36",301
"aef_A03",-0.274560058068226,-0.236079445720222,-0.666456039249488,0.25764074021621,0.763333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A03",302
"mics_heat_vzdpt24_35_sy",-0.200017916995133,-0.224517224910483,-1.001810863931,0.56514810811548,0.69,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vzdpt24 35 sy",303
"aef_A54",0.268393181071451,0.222615544968656,-0.471490916444265,1.04941563934348,0.696666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A54",304
"wpop_sex_ratio_wra",0.227878932366158,0.222434530918192,-0.733053052658676,1.19264522645982,0.663333333333333,"Household assets and characteristics","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)",NA,"sex ratio wra",305
"map_blooddisorders201201africahbcallelefrequency",0.393088243079802,0.219124262038473,-0.530858371744769,1.02811787399697,0.656666666666667,"Infection and inflammation burden","Malaria Atlas","Haemoglobin C gene frequency","Haemoglobin C gene frequency",306
"aef_A43",-0.121170966801018,-0.218881561903056,-1.04509926187086,0.548565512080879,0.68,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A43",307
"gdl_shdi_sy",0.640662221405942,0.2088129288507,-0.563825789052161,1.24369820524914,0.716666666666667,"Education, employment, SES","Global Data Lab Subnational HDI (SHDI)",NA,"gdl shdi sy",308
"map_sy_effective_treatment",0.331518556153985,0.20502852119405,-0.208091299005503,0.742714868820173,0.846666666666667,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)",NA,"sy effective treatment",309
"aef_A57",0.351829356740756,0.201925281938591,-0.402192898809634,0.737021973387343,0.733333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A57",310
"tclim_vpd_t0",-0.178324738138178,-0.197421388786075,-0.606851507551567,0.294334601870233,0.76,"Climate and weather","GEE",NA,"vpd",311
"human_modification",-0.184008890940757,-0.182942697402977,-0.828628445929801,0.52789902447161,0.65,"Ruralness, population density, built environment","GEE",NA,"human modification",312
"hces_hdds",0.228761359346987,0.174723210876801,-0.515440600253632,0.932810965290847,0.653333333333333,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Household dietary diversity score (budget survey)","Household dietary diversity score (budget survey)",313
"mics_heat_vzero_sy",-0.209228331317436,-0.1731987770301,-0.82922650514813,0.713345059104378,0.673333333333333,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vzero sy",314
"soil_sulfur_mean_0_20",-0.322929119264368,-0.161899638594482,-0.918704881116071,0.564525647816983,0.636666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"sulfur mean 0 20",315
"soil_iron_stdev_0_20",-0.285289402164021,-0.161803432134866,-0.79718492650828,0.467132195506423,0.673333333333333,"Soil characteristics","SoilGrids / iSDA",NA,"iron stdev 0 20",316
"map_blooddisorders201201globalg6pddallelefrequency",-0.140039547406155,-0.154070858157198,-1.17748649542718,0.732103807198661,0.61,"Infection and inflammation burden","Malaria Atlas",NA,"blooddisorders201201globalg6pddallelefrequency",317
"fsec_ipc_phase_ipcch",-0.0223866297671695,-0.146776542703105,-1.01918556537526,0.763319867541355,0.57,"Food prices and supply","HFID (FEWS NET / IPC / WFP mVAM)",NA,"fsec ipc phase ipcch",318
"rtfp_fpi_rel_national",0.615244492436383,0.143714190646007,-1.40816689997186,1.69090848028922,0.563333333333333,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10",NA,"rtfp fpi rel national",319
"soil_iron_stdev_20_50",0.00262555962474911,-0.140522862945571,-0.695942502226006,0.440758300461802,0.656666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"iron stdev 20 50",320
"mics_w_literate",-0.275991200721339,-0.137894125268702,-0.752432072821805,0.512664524447797,0.673333333333333,"Education, employment, SES","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics w literate",321
"spam_prod_roots",0.0883417607142485,0.137071600467268,-0.596025801726635,0.854389349721389,0.636666666666667,"Agricultural production, land use","MapSPAM",NA,"prod roots",322
"clim_vpd_ann",-0.104233044309405,-0.136072652558217,-0.669455641596564,0.33140784998623,0.67,"Climate and weather","GEE",NA,"clim vpd ann",323
"espen_sch_prev_mid",-0.0935357752864991,-0.132932648079193,-0.731703141002702,0.402188381419198,0.686666666666667,"Infection and inflammation burden","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",NA,"sch prev mid",324
"aef_A39",0.0202696935165127,-0.130693841497592,-0.770028794031654,0.599443155534212,0.606666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A39",325
"mics_head_no_education",0.101553504854078,0.129043326351944,-0.524556902900835,0.797277359972877,0.643333333333333,"Education, employment, SES","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics head no education",326
"fsec_ipc_phase_fews",-0.152551036794882,-0.128864459753474,-1.19344576237864,1.02023158035345,0.573333333333333,"Food prices and supply","HFID (FEWS NET / IPC / WFP mVAM)",NA,"fsec ipc phase fews",327
"spam_share_cereals",0.210537032219106,0.127081286754414,-0.767235230510274,0.94837538302202,0.603333333333333,"Agricultural production, land use","MapSPAM","Cereal share of cropland","Cereal share of cropland",328
"aef_A44",0.159278456720998,0.124584795318028,-0.571905073198197,0.727441291896299,0.63,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A44",329
"ihme_orsorrhf",-0.00884338623813165,-0.122133126896065,-0.861925157799776,0.728172368411052,0.58,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"orsorrhf",330
"aef_A05",0.163803278677732,0.121401153558585,-0.332528175046074,0.580346289620214,0.636666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A05",331
"soil_calcium_mean_20_50",-0.0219861907273848,-0.0928563354963084,-0.636057752957392,0.517905852352066,0.6,"Soil characteristics","SoilGrids / iSDA",NA,"calcium mean 20 50",332
"soil_magnesium_stdev_20_50",-0.207473194494283,-0.0915617686739787,-0.806251842672561,0.605516439760032,0.606666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"magnesium stdev 20 50",333
"ihme_sunimp",0.520335939956215,-0.0842690708692785,-1.52386824808813,1.33954068053324,0.533333333333333,"Water and sanitation","IHME (modelled surfaces)",NA,"sunimp",334
"map_sy_pf_parasite_rate",-0.204820657606408,0.0671699774604128,-0.755886559412007,0.908265031734394,0.543333333333333,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)","Malaria parasite rate","Malaria parasite rate",335
"aef_A17",0.0054757538898982,-0.0663371843258099,-0.675817199264201,0.58349088710823,0.596666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A17",336
"clim_pr_sy_anom_z",0.0623580701563699,0.0661092930129151,-0.536944054894704,0.663709307189385,0.573333333333333,"Climate and weather","GEE","Survey-year rainfall anomaly","Survey-year rainfall anomaly",337
"mics_heat_vbcg_sy",-0.183719073353628,-0.0657684832398685,-0.919822363511049,0.684450387743799,0.553333333333333,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vbcg sy",338
"hces_any_veg",0.193134707025071,0.0587876082873244,-0.604501391823212,0.741007526097746,0.576666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any veg",339
"ihme_edu_6_11y_share",-0.033170470654407,-0.0554458575455669,-0.928486231014286,0.757269216459289,0.57,"Education, employment, SES","IHME (modelled surfaces)",NA,"edu 6 11y share",340
"soil_sulfur_mean_20_50",-0.100118813217415,0.0452925997508695,-0.733608166976272,0.768925879251962,0.53,"Soil characteristics","SoilGrids / iSDA",NA,"sulfur mean 20 50",341
"aef_A48",-0.187160347164294,-0.0436164021825373,-0.530296997910746,0.440875052777189,0.576666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A48",342
"soil_magnesium_stdev_0_20",0.0276508869639812,0.0314563447020946,-0.574379931174231,0.67412825238193,0.536666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"magnesium stdev 0 20",343
"wpop_log_density_survey_year",0.0612978895978271,-0.0289239394171302,-0.834217486814454,0.736921605345921,0.523333333333333,"Ruralness, population density, built environment","Meta/Data for Good RWI; WorldPop; CIESIN GPW v4.11 (Earth Engine)",NA,"log density survey year",344
"ndvi_modis_anom_t0",0.0370809768142412,0.0266507049569779,-1.58058324343009,1.93558046322067,0.506666666666667,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis anom",345
"ihme_mcvcoverage",-0.168128262060006,0.0241155269228732,-1.0308748386071,1.20131500746517,0.51,"Immunisation","IHME (modelled surfaces)",NA,"mcvcoverage",346
"ghs_pop",0.0760710640574598,-0.0225751211823857,-0.842315762576987,0.732010617757268,0.52,"Ruralness, population density, built environment","GEE",NA,"ghs pop",347
"aef_A56",-0.0201513750524748,0.0221789636371227,-0.436668709581536,0.54770556561329,0.52,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A56",348
"ndvi_anomaly_t0",-0.891266268499432,0.0212519930972295,-1.46168035765465,1.92791518707256,0.513333333333333,"Ecosystem productivity/greenness","GEE",NA,"ndvi anomaly",349
"tclim_pet_t0",-0.00927183362612296,-0.0195360968065783,-0.49461993958027,0.486220359201691,0.51,"Climate and weather","GEE",NA,"pet",350
"built_surface",0.0826637913581971,-0.0190974814676023,-0.801803237906343,0.732343534319035,0.516666666666667,"Ruralness, population density, built environment","GEE",NA,"built surface",351
"map_sy_itn_use_rate",-0.0721011738475086,0.014599175523114,-0.877643890779631,0.990606803289619,0.523333333333333,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)","Bed-net use rate","Bed-net use rate",352
"ihme_malaria_pfpr",0.0655145224799841,0.0137254933862196,-1.0242175065003,0.820563225042495,0.51,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"malaria pfpr",353
"clim_srad_ann",0.0325266888801144,0.0122756888585983,-0.57934636693453,0.563445012567544,0.516666666666667,"Climate and weather","GEE",NA,"clim srad ann",354
"aef_A18",0.0874635057153958,-0.0102681258330924,-0.533592510244138,0.703459173739141,0.513333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A18",355
"access_healthcare_min",-0.0986088050203582,0.00882094800341892,-1.46976704403284,1.08232078931208,0.503333333333333,"Built environment","GEE",NA,"access healthcare min",356
"map_sy_irs_coverage",-0.0456382059278185,0.00621878361027119,-0.326523125980063,0.352294387104905,0.526666666666667,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)",NA,"sy irs coverage",357
"fprice_pulses_rel",0.278002011392363,0.00525438840188562,-1.21453418287928,1.07630380368883,0.503333333333333,"Food prices and supply","WFP / HDX market prices",NA,"pulses rel",358
"ghsl_smod_mean",0.101479400445785,-0.00516217932339365,-0.849652386433467,0.72656449852737,0.513333333333333,"Ruralness, population density, built environment","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)",NA,"ghsl smod mean",359
