"name","label"
"cVADAdjBrindaMRDR","Vitamin A Dficiency from Adjusted RBP values using BRINDA approach in MRDR kids"
"cVAD","Vit A Deficiency using Unadjusted RBP values"
"cRBPAdjThurn","Thurnham adjusted RBP concentration (umol/L)"
"cVADAdjThurn","VAD with RBP<0.7 umol/L after RBP adjusted using Thurnham approach"
"cVADAdjSherryThurn","VAD with RBP<0.788 umol/L after RBP adjusted using Thurnham approach and Sherry'"
"cVitASupp","Child recieved vitamin A supplements in the past 6 months"
"cOpenDef","Categories of open defecation"
"VAS_m","NULL"
"VAS_m2","NULL"
"VAS_d","NULL"
"VAS_y","NULL"
"VAS_date","NULL"
"INT_m","NULL"
"INT_m2","NULL"
"INT_y","NULL"
"cVAS_dayssince","NULL"
"cVAS_monthsince","NULL"
"cVAS_cat","RECODE of cjvta (44. During the last six months was  given a vitamin A capsule?)"
"cVAS_valid","NULL"
"cHalfRE_RNIOil","NULL"
"cStuntSev","RECODE of cStuntCat (Stunting Category; Severe, Moderate, Normal)"
"cWasteSev","RECODE of cWasteCat (Wasting Category; Severe, Moderate, Normal)"
"cUnderSev","RECODE of cUnderCat (Underweight Category; Severe, Moderate, Normal)"
"sWeight","NULL"
"res01","RECODE of res (Residence: Urban(1) Rural(2))"
"cAgeMonthsCatIYCF","Age category in months for kids- IYCF Categories"
"cFoodGrpScore2021","NULL"
"cMDD2021","Minimum Dietary Diversity-2021 guidelines"
"cMAD2021","Minimum Adequate Diet - 2021 Definitions"
"cSex01","RECODE of cSex (Child Sex)"
"cSickle01","RECODE of cSickleYN (Child has sickle trait or disease)"
"cAlphaThal01","RECODE of cAlphaThalYN (Child has alpha thal hetero or homo genes)"
