"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Lambussie-Karni",1.55801045722621,5.47893697529616
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sissala East",1.18855357780948,4.1796960440012
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Wa East",1.02822042257837,3.61586462137676
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Wa Municipal",1.044716868612,3.67387641951033
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Afadzato South",-0.680553835523494,-2.39325195529667
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Akatsi South",-0.0144618210543744,-0.0508567870885761
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ho Municipal",-0.496940842017176,-1.74755409454058
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","South Tongu",0.33899249406673,1.19210914244871
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Effia Kwesimintsim",0.248372571136216,0.873432946060135
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ellembelle",-0.053049701089938,-0.186555852357716
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Jomoro",0.189118426272792,0.665058397785438
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Mpohor",0.0433975691878258,0.152612933602813
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Prestea-Huni Valley",-0.518877521727268,-1.82469714901842
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Sefwi-Akontombra",-0.421928888748565,-1.48376525894812
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kalembo",0.447767518482949,1.57463000455114
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Nsamala",0.05159960181383,0.181456398432443
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Blantyre City",-0.799728161791455,-2.81234325193534
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kuntaja",-0.347261247029718,-1.22118723761706
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kasisi",0.703921788828513,2.47542826085742
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Lundu",1.3763145187641,4.8399806763291
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kadewere",-0.358238805564508,-1.25979118348647
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mpama",-0.55302409142755,-1.94477779574494
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Nchema",-0.505555504810437,-1.77784862452194
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Chitipa Boma",-1.3763145187641,-4.8399806763291
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Nyika N.P. - Chitipa",-1.30054092902557,-4.5735134516428
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mwabulambya",-1.12814364527876,-3.96725702507
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mwenemisuku",-0.828464648581135,-2.91339867122462
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mwenewenya",-1.25390498417371,-4.40951236843976
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kaphuka",0.730604805195844,2.5692623967641
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Pemba",1.05334899812895,3.70423237339153
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Tambala",0.601773220918427,2.11621015477839
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Kayembe",0.144920472248412,0.509630811652454
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Mkukula",0.134503915345218,0.472999697588052
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Mponela",-0.380325641763631,-1.33746228187828
