"outcome","Admin1","Admin2","n","n_eff","p_low","median_biomarker","mean_log"
"women_iodine","Mzimba","TA Mtwalo",12,12,0.0833333333333333,295.511949199609,5.7775657192069
"women_iodine","Neno","TA Ngozi",14,8.73415931633609,0,241.800565579204,5.54233052984063
"women_iodine","Neno","TA Symon",9,9,0,397.924551417454,5.8704004225367
"women_iodine","Nkhata Bay","Lake Malawi",23,18.1585290770486,0.0500819529679022,269.557799771603,5.5990574226847
"women_iodine","Nkhata Bay","SC Malanda",5,5,0.2,115.764117346884,4.98519667849187
"women_iodine","Nkhata Bay","TA Fukamapiri",5,5,0.6,88.0543109406693,5.03568508462392
"women_iodine","Nkhata Bay","TA Kabunduli",6,6,0.166666666666667,231.183914305059,5.3327905597468
"women_iodine","Nkhata Bay","TA Timbiri",6,6,0.166666666666667,150.654056744882,5.22460995558274
"women_iodine","Nkhotakota","Nkhotakota Boma",6,6,0,281.046451085114,5.82235114020886
"women_iodine","Nkhotakota","TA Kanyenda",9,9,0,286.629019448337,5.59355732490567
"women_iodine","Nkhotakota","TA Malenga Chanzi",6,6,0.333333333333333,163.670232906058,5.04672993633106
"women_iodine","Nkhotakota","TA Mwadzama",9,9,0.555555555555556,77.3573058813203,4.80269720381682
"women_iodine","Nsanje","Nsanje Boma",5,5,0,392.989157418882,6.01306210982568
"women_iodine","Nsanje","SC Mbenje",9,9,0,299.752509994181,5.71156788247205
"women_iodine","Nsanje","TA Ndamera",6,6,0,358.268503339037,5.92008128092749
"women_iodine","Ntcheu","SC Goodson Ganya",11,11,0,456.629133630484,6.21623180069614
"women_iodine","Ntcheu","SC Makwangwala",11,11,0,397.411861032835,5.95171841013886
"women_iodine","Ntcheu","TA Njolomole",9,9,0,323.837808335742,5.86271227676943
"women_iodine","Ntcheu","TA Phambala",11,11,0,419.003657420887,6.13644175587022
"women_iodine","Ntchisi","SC Chilooko",7,7,0,245.56056827018,5.52944733933316
"women_iodine","Ntchisi","SC Nthondo",8,8,0.25,181.109390202738,5.29942376292194
"women_iodine","Ntchisi","TA Kalumo",6,6,0.333333333333333,122.786193462002,5.11022942756778
"women_iodine","Phalombe","TA Mkhumba",24,15.9465340454625,0.00234702460722534,349.493683580838,5.97187428034959
"women_iodine","Rumphi","Rumphi Boma",19,18.798497471291,0.153299649058631,334.273317342553,5.6447208208741
"women_iodine","Rumphi","SC Chapinduka",8,8,0,291.91645001876,5.59965725410188
"women_iodine","Rumphi","SC Kachulu",6,6,0.166666666666667,158.25630935306,4.96972648217417
"women_iodine","Rumphi","SC Mwankhunikira",6,6,0.333333333333333,103.882201698935,4.55571846309295
"women_iodine","Rumphi","TA Chikulamayembe",15,14.9664126150261,0.41339905693173,266.523512774681,5.01583062688948
"women_iodine","Salima","SC Kambwiri",6,6,0.666666666666667,79.8272537352117,4.26779509700908
"women_iodine","Salima","TA Karonga",7,7,0,290.273461795147,5.60484903923669
"women_iodine","Salima","TA Maganga",11,11,0,504.05108165427,5.94342265324924
"women_iodine","Thyolo","SC Mbawela",12,12,0.0833333333333333,276.602146828411,5.64646507039559
"women_iodine","Thyolo","TA Bvumbwe",13,13,0.0769230769230769,255.556557548935,5.54556339758249
"women_iodine","Zomba","SC Mbiza",8,8,0.125,173.235140514357,5.24944848086085
"women_iodine","Zomba","TA Malemia",8,7.98710604396838,0.5,97.0672609980654,4.76062686350011
