"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national","concordance"
"Ghana","women_folate","infill","null_train_mean",5,75,0.260272570961011,1.30136285480506,0.473113731953995,0.509976748106036,0.423415085608515
"Ghana","women_folate","infill","region_mean_jk",5,75,0.146969388292242,0.73484694146121,0.534947204985045,0.509976748106036,0.594666666666667
"Ghana","women_folate","infill","spatial",5,75,0.223268382165453,1.11634191082727,0.72026578182916,0.509976748106036,0.63475975975976
"Ghana","women_folate","infill","domain_index",5,75,0.19153079742162,0.957653987108102,0.709318980783575,0.509976748106036,0.584834834834835
"Ghana","women_folate","infill","spatial_plus_domain",5,75,0.223268382165453,1.11634191082727,0.72026578182916,0.509976748106036,0.63475975975976
"Ghana","women_folate","infill","null_train_mean",6,75,0.18676854817937,0.93384274089685,0.415979396959667,0.509976748106036,0.401567542646381
"Ghana","women_folate","infill","region_mean_jk",6,75,0.175127127278123,0.875635636390615,0.6097533043009,0.509976748106036,0.613714285714286
"Ghana","women_folate","infill","spatial",6,75,0.228598611573363,1.14299305786681,0.685635015753956,0.509976748106036,0.658408408408408
"Ghana","women_folate","infill","domain_index",6,75,0.182056636826472,0.910283184132362,0.654026686968411,0.509976748106036,0.587837837837838
"Ghana","women_folate","infill","spatial_plus_domain",6,75,0.228598611573363,1.14299305786681,0.685635015753956,0.509976748106036,0.658408408408408
"Ghana","women_folate","infill","null_train_mean",7,75,0.126404310373608,0.632021551868039,0.387395881404998,0.509976748106036,0.389274156264448
"Ghana","women_folate","infill","region_mean_jk",7,75,0.157222602873557,0.786113014367787,0.503817963645485,0.509976748106036,0.582824427480916
"Ghana","women_folate","infill","spatial",7,75,0.230048768642664,1.15024384321332,0.710623662150251,0.509976748106036,0.649774774774775
"Ghana","women_folate","infill","domain_index",7,75,0.161268478426703,0.806342392133513,0.60894493320362,0.509976748106036,0.599099099099099
"Ghana","women_folate","infill","spatial_plus_domain",7,75,0.230048768642664,1.15024384321332,0.710623662150251,0.509976748106036,0.649774774774775
"Ghana","women_folate","infill","null_train_mean",8,75,0.16283023378821,0.814151168941052,0.454208190600778,0.509976748106036,0.475197032916087
"Ghana","women_folate","infill","region_mean_jk",8,75,0.200422149211389,1.00211074605695,0.656380980746938,0.509976748106036,0.647930117736422
"Ghana","women_folate","infill","spatial",8,75,0.26935738805595,1.34678694027975,0.744685812151484,0.509976748106036,0.668543543543544
"Ghana","women_folate","infill","domain_index",8,75,0.1608533654544,0.804266827272002,0.597093644865507,0.509976748106036,0.600975975975976
"Ghana","women_folate","infill","spatial_plus_domain",8,75,0.26935738805595,1.34678694027975,0.744685812151484,0.509976748106036,0.668543543543544
"Ghana","women_folate","infill","null_train_mean",9,75,0.214934665352171,1.07467332676086,0.478261222340564,0.509976748106036,0.416782568382012
"Ghana","women_folate","infill","region_mean_jk",9,75,0.180879562689095,0.904397813445473,0.684155474666895,0.509976748106036,0.627809523809524
"Ghana","women_folate","infill","spatial",9,75,0.265569842782907,1.32784921391454,0.742884944960436,0.509976748106036,0.662537537537538
"Ghana","women_folate","infill","domain_index",9,75,0.198717165254278,0.993585826271392,0.704970017099098,0.509976748106036,0.602477477477477
"Ghana","women_folate","infill","spatial_plus_domain",9,75,0.265569842782907,1.32784921391454,0.742884944960436,0.509976748106036,0.662537537537538
"Ghana","women_folate","infill","null_train_mean",10,75,0.172290036901576,0.861450184507882,0.473560747303495,0.509976748106036,0.428637627432808
"Ghana","women_folate","infill","region_mean_jk",10,75,0.179359249272067,0.896796246360336,0.62640338199577,0.509976748106036,0.59717987804878
"Ghana","women_folate","infill","spatial",10,75,0.211691863622445,1.05845931811222,0.676862227996408,0.509976748106036,0.663663663663664
"Ghana","women_folate","infill","domain_index",10,75,0.198717165254278,0.993585826271392,0.704970017099098,0.509976748106036,0.591216216216216
"Ghana","women_folate","infill","spatial_plus_domain",10,75,0.211691863622445,1.05845931811222,0.676862227996408,0.509976748106036,0.663663663663664
