"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Ghana","child_iron",5,2,"rf","domain_index",0.577831372496681,0.848948271965376,0.422168627503319,0.151051728034624
"Ghana","child_iron",5,3,"rf","domain_index",0.169562897641676,0.595825769920675,0,0.0117716646706657
"Ghana","child_iron",5,5,"rf","rf",0.551551320217412,0.0330206647530387,0.402611262904431,0.112774446219357
"Ghana","child_iron",5,1,"rf","domain_index",0.410992065107675,0.496705206120517,0.353243832216079,0.125635236540854
"Ghana","child_iron",5,4,"rf","enet",0.165685920222063,0.346115976498432,0,0.0567664952870915
"Ghana","women_iron",1,1,"rf","domain_index",0.234448807505765,0.465714762527995,0.311788822465143,0.118516134652672
"Ghana","women_iron",1,3,"rf","domain_index",0.109225764941313,0.462503450091209,0,0.0977465010642916
"Ghana","women_iron",1,4,"rf","rf",0,0.216988639859906,0,0.108550074347528
"Ghana","women_iron",1,5,"rf","rf",0.0427786687112497,0.427759041940297,0,0.0311936229697044
"Ghana","women_iron",1,2,"enet","domain_index",0.0845865079927501,0.435684114063638,0.371207884218972,0.0653803326553901
"Ghana","women_iron",2,2,"rf","rf",0.0330303864624451,0.267826048165787,0,0.059568504383501
"Ghana","women_iron",2,3,"enet","domain_index",0.109937942083824,0.662982864812028,0.551928502110678,0.097921672378531
"Ghana","women_iron",2,1,"rf","rf",0.0727993278174955,0.36799833077586,0.0872250512284888,0.170546222888748
"Ghana","women_iron",2,4,"rf","rf",0.219557251766907,0.415928165404775,0.13126197402187,0.0799456172351872
"Ghana","women_iron",2,5,"rf","rf",0.0697996344974837,0.309385742989471,0,0
"Ghana","women_iron",3,5,"rf","rf",0.0792405996365507,0.358227583293891,0.00690536865531021,0.199971964179328
"Ghana","women_iron",3,1,"rf","rf",0.0971814953710737,0.422417456453015,0.0644007112980878,0
"Ghana","women_iron",3,4,"rf","rf",0.0488834503628725,0.221159548943907,0,0.0101925419540818
"Ghana","women_iron",3,3,"rf","rf",0.108487521544009,0.400298984397752,0.108042474512762,0.0574992716642153
"Ghana","women_iron",3,2,"rf","domain_index",0.083067970260403,0.506153092112211,0.0610426377590156,0.10193699332913
"Ghana","women_iron",4,1,"rf","rf",0.0102080542744938,0.321669569544087,0,0.0966360136269366
"Ghana","women_iron",4,2,"rf","rf",0,0.138686654169466,0,0.0316803638317485
"Ghana","women_iron",4,4,"rf","rf",0.0112830093327217,0.238016693959426,0.211143902284074,0.208213994860997
