"country","outcome","Admin1","Admin2","rank","variable","shap","direction"
"Gambia","child_iron","Maccarthy Island","Niamina East",3,"missing_wfp_milk_powder",0.00401323818435298,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niamina East",4,"dhs2019_c_min_diet_diversity_adm2.y",0.00227100497482759,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niamina East",5,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00214746570359664,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niani",1,"missing_wfp_milk_powder",0.00463077137316328,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niani",2,"dhs2019_hh_open_defecation_adm2.y",0.00385167864740837,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niani",3,"dhs2019_hh_radio_adm2.y",0.00256695144755054,"increases risk"
"Gambia","child_iron","Maccarthy Island","Niani",4,"wfp_price_groundnuts_unshelled",-0.00224877378562095,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Niani",5,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",0.00144148158209322,"increases risk"
"Gambia","child_iron","Maccarthy Island","Nianija",1,"dhs2019_w_iron_supplement_adm2.y",-0.00532914988935743,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Nianija",2,"gee_temp_Jan_25km",-0.00519881638615624,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Nianija",3,"missing_wfp_milk_powder",0.00275727232178455,"increases risk"
"Gambia","child_iron","Maccarthy Island","Nianija",4,"dhs2019_hh_radio_adm2.y",-0.00267605122676193,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Nianija",5,"dhs2019_w_modern_fp_adm2.y",-0.00252034723710716,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Sami",1,"wfp_price_groundnuts_unshelled",0.0565551609931891,"increases risk"
"Gambia","child_iron","Maccarthy Island","Sami",2,"wfp_price_beans_dry",0.0153670062040316,"increases risk"
"Gambia","child_iron","Maccarthy Island","Sami",3,"gee_temp_Jan_25km",0.00623042971213124,"increases risk"
"Gambia","child_iron","Maccarthy Island","Sami",4,"missing_wfp_milk_powder",0.00502842517970594,"increases risk"
"Gambia","child_iron","Maccarthy Island","Sami",5,"dhs2019_w_iron_supplement_adm2.y",0.00335218118090012,"increases risk"
"Gambia","child_iron","Upper River","Sandu",1,"dhs2019_c_min_diet_diversity_adm2.y",-0.00917967382949699,"decreases risk"
"Gambia","child_iron","Upper River","Sandu",2,"dhs2019_w_iron_supplement_adm2.y",-0.00494471499694112,"decreases risk"
"Gambia","child_iron","Upper River","Sandu",3,"wfp_price_groundnuts_unshelled",-0.00238259026360502,"decreases risk"
"Gambia","child_iron","Upper River","Sandu",4,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",-0.00224367705110913,"decreases risk"
"Gambia","child_iron","Upper River","Sandu",5,"dhs2019_w_modern_fp_adm2.y",-0.00221283971512063,"decreases risk"
"Gambia","child_iron","North Bank","Upper Baddibu",1,"wfp_price_rice_basmati_broken",0.00793975031343968,"increases risk"
"Gambia","child_iron","North Bank","Upper Baddibu",2,"wfp_price_beans_dry",0.00666685197025594,"increases risk"
"Gambia","child_iron","North Bank","Upper Baddibu",3,"dhs2019_w_iron_supplement_adm2.y",0.00459718918106582,"increases risk"
"Gambia","child_iron","North Bank","Upper Baddibu",4,"wfp_price_groundnuts_unshelled",-0.00388838568359885,"decreases risk"
"Gambia","child_iron","North Bank","Upper Baddibu",5,"dhs2019_c_min_diet_diversity_adm2.y",0.00198309272838371,"increases risk"
"Gambia","child_iron","North Bank","Upper Nuimi",1,"dhs2019_hh_radio_adm2.y",0.00604374791385644,"increases risk"
"Gambia","child_iron","North Bank","Upper Nuimi",2,"dhs2019_w_iron_supplement_adm2.y",0.00442470642786116,"increases risk"
"Gambia","child_iron","North Bank","Upper Nuimi",3,"dhs2019_c_min_diet_diversity_adm2.y",-0.00373550316611313,"decreases risk"
"Gambia","child_iron","North Bank","Upper Nuimi",4,"missing_wfp_milk_powder",0.00290042622875309,"increases risk"
"Gambia","child_iron","North Bank","Upper Nuimi",5,"gee_trmm_Dec_10km",0.00226858763852465,"increases risk"
"Gambia","child_iron","Maccarthy Island","Upper Saloum",1,"wfp_price_beans_dry",0.0148778078227729,"increases risk"
"Gambia","child_iron","Maccarthy Island","Upper Saloum",2,"dhs2019_w_iron_supplement_adm2.y",-0.00644736661783042,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Upper Saloum",3,"gee_temp_Jan_25km",-0.00539766690856454,"decreases risk"
"Gambia","child_iron","Maccarthy Island","Upper Saloum",4,"dhs2019_hh_open_defecation_adm2.y",0.00452816538315102,"increases risk"
"Gambia","child_iron","Maccarthy Island","Upper Saloum",5,"dhs2019_c_min_diet_diversity_adm2.y",0.00429728632789084,"increases risk"
"Gambia","child_iron","Upper River","Wuli",1,"wfp_price_rice_basmati_broken",0.0238634828590199,"increases risk"
"Gambia","child_iron","Upper River","Wuli",2,"wfp_price_beans_dry",0.0207842633733544,"increases risk"
"Gambia","child_iron","Upper River","Wuli",3,"gee_temp_Jan_25km",0.00550575001493044,"increases risk"
"Gambia","child_iron","Upper River","Wuli",4,"dhs2019_w_modern_fp_adm2.y",0.00302636514470627,"increases risk"
"Gambia","child_iron","Upper River","Wuli",5,"wfp_price_groundnuts_unshelled",-0.00297143869861564,"decreases risk"
"Gambia","child_vitA","Banjul","Banjul",1,"MAP_202106_Antimalarial_Effective_Treatment",-0.0225095807564575,"decreases risk"
"Gambia","child_vitA","Banjul","Banjul",2,"gee_trmm_Jan_10km",-0.0194237910002155,"decreases risk"
"Gambia","child_vitA","Banjul","Banjul",3,"dhs2019_CH_VACC_C_MSL_adm2.y",-0.0192963109985117,"decreases risk"
"Gambia","child_vitA","Banjul","Banjul",4,"gee_productivity_2018_annual_min",-0.010178943964334,"decreases risk"
"Gambia","child_vitA","Banjul","Banjul",5,"dhs2019_w_any_media_adm2.y",-0.00904774378825412,"decreases risk"
"Gambia","child_vitA","North Bank","Central Baddibu",1,"MAP_202106_Antimalarial_Effective_Treatment",0.117743822801001,"increases risk"
"Gambia","child_vitA","North Bank","Central Baddibu",2,"dhs2019_w_bmi_low_adm2.y",-0.0339499930513609,"decreases risk"
"Gambia","child_vitA","North Bank","Central Baddibu",3,"dhs2019_w_any_media_adm2.y",0.0260299548236366,"increases risk"
"Gambia","child_vitA","North Bank","Central Baddibu",4,"gee_trmm_Jan_10km",0.017526118779137,"increases risk"
"Gambia","child_vitA","North Bank","Central Baddibu",5,"mics_ec_risk_h_2_se",-0.0174594400080944,"decreases risk"
"Gambia","child_vitA","Western","Foni Bintang Karanai",1,"gee_trmm_Jan_10km",-0.10205174418236,"decreases risk"
"Gambia","child_vitA","Western","Foni Bintang Karanai",2,"dhs2019_w_bmi_low_adm2.y",-0.027072106202464,"decreases risk"
"Gambia","child_vitA","Western","Foni Bintang Karanai",3,"dhs2019_w_any_media_adm2.y",-0.00958097118417538,"decreases risk"
"Gambia","child_vitA","Western","Foni Bintang Karanai",4,"MAP_202106_Antimalarial_Effective_Treatment",-0.00847831940953417,"decreases risk"
"Gambia","child_vitA","Western","Foni Bintang Karanai",5,"map2_explorer_2017_non_malarial_fever",-0.0054334635192706,"decreases risk"
"Gambia","child_vitA","Western","Foni Brefet",1,"gee_trmm_Jan_10km",-0.0580159509193789,"decreases risk"
"Gambia","child_vitA","Western","Foni Brefet",2,"MAP_202106_Antimalarial_Effective_Treatment",-0.0181912006851083,"decreases risk"
"Gambia","child_vitA","Western","Foni Brefet",3,"dhs2019_w_bmi_low_adm2.y",0.00909229247842461,"increases risk"
"Gambia","child_vitA","Western","Foni Brefet",4,"dhs2019_w_any_media_adm2.y",-0.00907401875504635,"decreases risk"
"Gambia","child_vitA","Western","Foni Brefet",5,"dhs2019_CH_VACC_C_MSL_adm2.y",-0.00842655936709078,"decreases risk"
