country,outcome,arm,n_admin2,pearson_r,mae_pp,bias_pp,abs_bias_pp,r_max_emp,r_share_emp
Malawi,child_iron,3 ADMIN-1 anchor (hard),87,0.2862,11.63,-3.92,3.92,0.4487,0.638
Malawi,child_iron,3 ADMIN-1 anchor (shrunk),87,0.1287,12.68,-7.97,7.97,0.4487,0.287
Malawi,child_iron,4 national anchor,87,0.2128,15.57,-14.14,14.14,0.4487,0.474
Malawi,child_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",78,0.169,15.62,-9.17,9.17,0.4487,0.377
Malawi,child_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.1087,13.82,-11.08,11.08,0.4487,0.242
Malawi,women_iron,1 no anchor (LORO),87,0.0345,15.2,-7.08,7.08,0.3947,0.087
Malawi,women_iron,2a flat REGIONAL mean (no covariates),87,0.3802,11.56,-1.17,1.17,0.3947,0.963
Malawi,women_iron,2a flat NATIONAL mean (no covariates),87,NA,14.09,-9.01,9.01,0.3947,NA
Malawi,women_iron,3 ADMIN-1 anchor (hard),87,0.2236,12.74,-3.89,3.89,0.3947,0.567
Malawi,women_iron,3 ADMIN-1 anchor (shrunk),87,0.0237,14.29,-9.55,9.55,0.3947,0.06
Malawi,women_iron,4 national anchor,87,0.0354,15.5,-11.74,11.74,0.3947,0.09
Malawi,women_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",70,-0.038,16.12,-7.24,7.24,0.3947,-0.096
Malawi,women_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.1613,13.92,-8.96,8.96,0.3947,0.409
Malawi,women_folate,1 no anchor (LORO),87,0.2735,16.98,-10.58,10.58,0.8305,0.329
Malawi,women_folate,2a flat REGIONAL mean (no covariates),87,0.7216,10.57,-0.83,0.83,0.8305,0.869
Malawi,women_folate,2a flat NATIONAL mean (no covariates),87,NA,16.98,-1.87,1.87,0.8305,NA
Malawi,women_folate,3 ADMIN-1 anchor (hard),87,0.5867,13.24,-0.27,0.27,0.8305,0.706
Malawi,women_folate,3 ADMIN-1 anchor (shrunk),87,0.523,13.64,-1.91,1.91,0.8305,0.63
