"column","rule_id","country","survey_year","year_used","has_data","year_offset"
"dhs_c_diarrhea_2wk","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_diarrhea_2wk","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_diarrhea_2wk","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_diarrhea_2wk","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_diet_diversity_score","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_diet_diversity_score","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_diet_diversity_score","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_diet_diversity_score","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_dpt1","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_dpt1","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_dpt1","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_dpt1","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_dpt3","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_dpt3","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_dpt3","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_dpt3","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_early_initiation","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_early_initiation","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_early_initiation","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_early_initiation","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_fever_2wk","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_fever_2wk","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_fever_2wk","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_fever_2wk","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_fully_vaccinated","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_fully_vaccinated","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_fully_vaccinated","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_fully_vaccinated","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_infant_death","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_infant_death","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_infant_death","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_infant_death","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_iron_rich_food","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_iron_rich_food","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_iron_rich_food","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_iron_rich_food","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_low_birthweight","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_low_birthweight","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_low_birthweight","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_low_birthweight","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_mean_birthweight","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_mean_birthweight","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_mean_birthweight","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_mean_birthweight","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_mean_haz","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_mean_haz","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_mean_haz","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_mean_haz","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_mean_hemoglobin","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_mean_hemoglobin","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_mean_hemoglobin","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_mean_hemoglobin","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_mean_waz","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_mean_waz","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_mean_waz","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_mean_waz","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_mean_whz","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_mean_whz","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_mean_whz","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_mean_whz","dhs_round","SierraLeone",2013,2013,TRUE,0
