strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
spatial_cv,has_clusters,0.6,21,13.147083567228437,10.72845396961327,2,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,9,9.709232211962277,8.191246590607518,2,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,20,5.38918906799254,2.788185959680526,3,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,10,16.41020044728952,14.148972629395073,3,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,20,12.04929418467635,9.27290400359923,3,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,10,13.448405861113205,11.95773923329583,3,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,20,15.095334400969532,11.712983790636635,3,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,10,13.10175615806346,10.979686787578084,3,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,20,3.3821776072283196,2.005795823402394,4,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,10,13.049299259519307,10.901109277328636,4,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,20,14.81010305031501,11.564759795559592,4,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,10,14.584358163879834,11.97581718319908,4,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,20,11.591631932381835,10.061890838296533,4,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,10,16.215721288899136,13.920129925589524,4,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,20,4.420868752659115,2.853472724847358,5,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,10,11.877368606991237,9.301487746856935,5,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,20,14.158210973500202,10.986001019361895,5,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,10,11.191648709488536,9.669963705405552,5,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,20,11.638383195885627,9.324566748217817,5,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,10,10.666778026594512,8.710747259273122,5,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,22,4.956335639753991,2.4886776486963904,6,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,8,19.09134474446882,16.414872019854407,6,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,22,9.543739791065695,7.800456852292507,6,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,8,19.442211952997386,16.95208487522487,6,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,22,9.81774557270117,8.008279275616328,6,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,8,17.739933711550066,15.379363398454288,6,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,21,4.96339345733159,3.4328011465662915,7,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,9,18.61437095443597,15.46083777728555,7,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,21,9.559519824902221,7.723307733487767,7,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,9,18.28907113431386,16.111425577467813,7,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,21,8.648923196306562,6.607267422529503,7,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,9,19.632590486232292,16.273061650230225,7,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,19,2.5255612711123128,1.7707147362577225,8,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,11,14.467485055140811,10.74799599183593,8,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,19,9.625568761435224,7.725518290368726,8,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,11,15.341432811867007,12.600280494267308,8,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,19,10.613280572217395,9.019602880342319,8,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,11,13.193201279625319,10.444847218328409,8,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,22,4.762387656566434,2.3279415683809526,9,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,8,12.21577995921841,10.151482416938826,9,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,22,14.114172420607277,10.198980991557907,9,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,8,15.537338275155449,13.30043398551599,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,22,14.070679400179475,10.83004098400723,9,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,8,12.500066409845978,9.904538023479228,9,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,23,6.1471500688677745,3.212537337482684,10,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,7,18.932600199028222,15.886260696476631,10,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,23,11.024870944831786,8.76699693677847,10,70,30,12345,Gambia,child_vitA,full
